tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	expert_total	expert_retained_in_consensus	expert_not_retained	TP_annotations	FP_annotations	FN_annotations	expert_retained_annotations	expert_not_retained_annotations
FMRIprep	topic	3	0	1	0	1.0	0.75	0.86	3	3	0	['brain imaging', 'fmri preprocessing', 'neuroimaging']	[]	['bids apps']	['brain imaging', 'fmri preprocessing', 'neuroimaging']	[]
FMRIprep	operation	2	0	0	0	1.0	1.0	1.0	2	2	0	['preprocessing', 'visualization']	[]	[]	['preprocessing', 'visualization']	[]
FMRIprep	input data	1	0	0	0	1.0	1.0	1.0	1	1	0	['fmri']	[]	[]	['fmri']	[]
FMRIprep	output data	1	0	1	0	1.0	0.5	0.67	1	1	0	['preprocessed fmri']	[]	['reports']	['preprocessed fmri']	[]
FMRIprep	input format	2	0	0	0	1.0	1.0	1.0	2	2	0	['bids', 'nifti']	[]	[]	['bids', 'nifti']	[]
FMRIprep	output format	3	0	0	0	1.0	1.0	1.0	1	1	0	['html', 'nifti', 'tsv']	[]	[]	['nifti']	[]
SPM	topic	6	0	0	0	1.0	1.0	1.0	4	4	0	['anatomical mri processing', 'brain imaging', 'eeg analysis', 'fmri analysis', 'meg analysis', 'neuroimaging']	[]	[]	['anatomical mri processing', 'brain imaging', 'fmri analysis', 'neuroimaging']	[]
SPM	operation	4	0	0	0	1.0	1.0	1.0	4	4	0	['group statistical analysis', 'preprocessing', 'subject statistical analysis', 'visualization']	[]	[]	['group statistical analysis', 'preprocessing', 'subject statistical analysis', 'visualization']	[]
SPM	input data	6	0	0	0	1.0	1.0	1.0	6	6	0	['anatomical mri', 'eeg', 'fmri', 'meg', 'pet', 'spect']	[]	[]	['anatomical mri', 'eeg', 'fmri', 'meg', 'pet', 'spect']	[]
SPM	output data	3	0	0	0	1.0	1.0	1.0	3	3	0	['preprocessed data', 'results reports', 'statistical parametric maps']	[]	[]	['preprocessed data', 'results reports', 'statistical parametric maps']	[]
SPM	input format	2	0	0	0	1.0	1.0	1.0	2	2	0	['dicom', 'nifti']	[]	[]	['dicom', 'nifti']	[]
SPM	output format	5	0	0	0	1.0	1.0	1.0	5	5	0	['jpeg', 'mat', 'nifti', 'pdf', 'ps']	[]	[]	['jpeg', 'mat', 'nifti', 'pdf', 'ps']	[]
Freesurfer	topic	4	0	0	0	1.0	1.0	1.0	4	4	0	['brain imaging', 'diffusion mri tractography', 'fmri surface analysis', 'neuroimaging']	[]	[]	['brain imaging', 'diffusion mri tractography', 'fmri surface analysis', 'neuroimaging']	[]
Freesurfer	operation	4	0	0	0	1.0	1.0	1.0	4	4	0	['morphometry analysis', 'surface modelling', 'tractography', 'whole-brain analysis']	[]	[]	['morphometry analysis', 'surface modelling', 'tractography', 'whole-brain analysis']	[]
Freesurfer	input data	4	0	0	0	1.0	1.0	1.0	4	4	0	['anatomical mri', 'diffusion mri', 'fmri', 'pet']	[]	[]	['anatomical mri', 'diffusion mri', 'fmri', 'pet']	[]
Freesurfer	output data	3	0	0	0	1.0	1.0	1.0	3	3	0	['cortical parcellations', 'surface maps', 'volumetric segmentation']	[]	[]	['cortical parcellations', 'surface maps', 'volumetric segmentation']	[]
Freesurfer	input format	2	0	0	0	1.0	1.0	1.0	2	2	0	['dicom', 'nifti']	[]	[]	['dicom', 'nifti']	[]
Freesurfer	output format	14	1	0	0	0.93	1.0	0.96	15	14	1	['annot', 'bfloat', 'bshort', 'cor', 'curv', 'dat', 'gca', 'gcs', 'm3d', 'mgh', 'mgz', 'patch', 'surface', 'xfm']	['w']	[]	['annot', 'bfloat', 'bshort', 'cor', 'curv', 'dat', 'gca', 'gcs', 'm3d', 'mgh', 'mgz', 'patch', 'surface', 'xfm']	['w']
