tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	deepseek_total	deepseek_retained_in_consensus	deepseek_not_retained	mixed_annotations_count	TP_annotations	FP_annotations	FN_annotations	deepseek_retained_annotations	deepseek_not_retained_annotations	mixed_annotations
MAFFT	topic	2	2	4	0	0.5	0.33	0.4	4	2	2	0	['comparative genomics', 'sequence analysis']	['bioinformatics', 'multiple sequence alignment']	['molecular evolution', 'multiple-sequence alignment (msa)', 'phylogenetics', 'sequence annotation']	['comparative genomics', 'sequence analysis']	['bioinformatics', 'multiple sequence alignment']	[]
MAFFT	operation	2	4	1	0	0.33	0.67	0.44	5	1	4	1	['fft', 'progressive alignment']	['consistency scoring', 'fast fourier transform', 'iterative refinement', 'structural alignment']	['global multiple sequence alignment']	['progressive alignment']	['consistency scoring', 'fast fourier transform', 'iterative refinement', 'structural alignment']	['fft']
MAFFT	input data	0	1	1	0	0.0	0.0	0.0	1	0	1	0	[]	['unaligned nucleotide or protein sequences']	['multiple-sequence file']	[]	['unaligned nucleotide or protein sequences']	[]
MAFFT	output data	0	2	1	0	0.0	0.0	0.0	2	0	2	0	[]	['alignment accuracy scores', 'multiple sequence alignment']	['multiple-sequence alignment file']	[]	['alignment accuracy scores', 'multiple sequence alignment']	[]
MAFFT	input format	1	0	0	0	1.0	1.0	1.0	1	1	0	0	['fasta']	[]	[]	['fasta']	[]	[]
MAFFT	output format	3	2	0	0	0.6	1.0	0.75	4	2	2	1	['.tree', 'clustal', 'fasta']	['nexus', 'phylip']	[]	['clustal', 'fasta']	['nexus', 'phylip']	['.tree']
FastME	topic	0	4	2	0	0.0	0.0	0.0	4	0	4	0	[]	['balanced minimum evolution', 'distance-based tree reconstruction', 'phylogeny inference', 'whole-genome phylogeny']	['distanced-based phylogenetics', 'phylogenetics']	[]	['balanced minimum evolution', 'distance-based tree reconstruction', 'phylogeny inference', 'whole-genome phylogeny']	[]
FastME	operation	1	5	3	0	0.17	0.25	0.2	5	0	5	1	['minimum evolution (me)']	['bootstrapping', 'distance matrix calculation', 'parallel computations', 'subtree pruning and regrafting)', 'topological moves (nearest neighbor interchange']	['distance matrix computation', 'topological optimization', 'tree inference']	[]	['bootstrapping', 'distance matrix calculation', 'parallel computations', 'subtree pruning and regrafting)', 'topological moves (nearest neighbor interchange']	['minimum evolution (me)']
FastME	input data	0	3	3	0	0.0	0.0	0.0	3	0	3	0	[]	['distance matrices', 'molecular sequences (dna', 'proteins)']	['distance matrix', 'multiple sequences alignment msa', 'substitution model']	[]	['distance matrices', 'molecular sequences (dna', 'proteins)']	[]
FastME	output data	0	2	2	0	0.0	0.0	0.0	2	0	2	0	[]	['bootstrap support values', 'phylogenetic trees']	['distance matrix', 'phylogenetic trees with support values']	[]	['bootstrap support values', 'phylogenetic trees']	[]
FastME	input format	0	3	2	0	0.0	0.0	0.0	3	0	3	0	[]	['distance matrices', 'fasta)', 'sequence alignments (e.g.']	['newick', 'phylip']	[]	['distance matrices', 'fasta)', 'sequence alignments (e.g.']	[]
FastME	output format	1	0	1	0	1.0	0.5	0.67	1	1	0	0	['newick']	[]	['phylip']	['newick']	[]	[]
PhyML	topic	2	2	1	0	0.5	0.67	0.57	4	2	2	0	['molecular evolution', 'phylogenetics']	['maximum likelihood', 'tree inference']	['likelihood-based phylogenetics']	['molecular evolution', 'phylogenetics']	['maximum likelihood', 'tree inference']	[]
PhyML	operation	1	5	1	0	0.17	0.5	0.25	5	0	5	1	['maximum-likelihood tree inference']	['branch length optimization', 'maximum likelihood estimation', 'model selection', 'statistical calculation', 'tree search']	['tree inference']	[]	['branch length optimization', 'maximum likelihood estimation', 'model selection', 'statistical calculation', 'tree search']	['maximum-likelihood tree inference']
PhyML	input data	1	1	1	0	0.5	0.5	0.5	2	1	1	0	['multiple sequence alignment']	['genetic sequences']	['sequence evolution model']	['multiple sequence alignment']	['genetic sequences']	[]
PhyML	output data	0	3	1	0	0.0	0.0	0.0	3	0	3	0	[]	['log file', 'phylogenetic tree', 'statistical support values']	['phylogeny trees with support values']	[]	['log file', 'phylogenetic tree', 'statistical support values']	[]
PhyML	input format	1	1	0	0	0.5	1.0	0.67	2	1	1	0	['phylip']	['fasta']	[]	['phylip']	['fasta']	[]
PhyML	output format	1	1	0	0	0.5	1.0	0.67	2	1	1	0	['newick']	['pdf (via companion scripts)']	[]	['newick']	['pdf (via companion scripts)']	[]
