tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	expert_total	expert_retained_in_consensus	expert_not_retained	TP_annotations	FP_annotations	FN_annotations	expert_retained_annotations	expert_not_retained_annotations
MAFFT	topic	6	0	0	0	1.0	1.0	1.0	4	4	0	['comparative genomics', 'molecular evolution', 'multiple-sequence alignment (msa)', 'phylogenetics', 'sequence analysis', 'sequence annotation']	[]	[]	['molecular evolution', 'multiple-sequence alignment (msa)', 'phylogenetics', 'sequence annotation']	[]
MAFFT	operation	2	0	1	0	1.0	0.67	0.8	1	1	0	['global multiple sequence alignment', 'progressive alignment']	[]	['fft']	['global multiple sequence alignment']	[]
MAFFT	input data	1	0	0	0	1.0	1.0	1.0	1	1	0	['multiple-sequence file']	[]	[]	['multiple-sequence file']	[]
MAFFT	output data	1	0	0	0	1.0	1.0	1.0	1	1	0	['multiple-sequence alignment file']	[]	[]	['multiple-sequence alignment file']	[]
MAFFT	input format	1	0	0	0	1.0	1.0	1.0	1	1	0	['fasta']	[]	[]	['fasta']	[]
MAFFT	output format	2	0	1	0	1.0	0.67	0.8	1	1	0	['clustal', 'fasta']	[]	['.tree']	['fasta']	[]
FastME	topic	2	0	0	0	1.0	1.0	1.0	2	2	0	['distanced-based phylogenetics', 'phylogenetics']	[]	[]	['distanced-based phylogenetics', 'phylogenetics']	[]
FastME	operation	3	0	1	0	1.0	0.75	0.86	3	3	0	['distance matrix computation', 'topological optimization', 'tree inference']	[]	['minimum evolution (me)']	['distance matrix computation', 'topological optimization', 'tree inference']	[]
FastME	input data	3	0	0	0	1.0	1.0	1.0	3	3	0	['distance matrix', 'multiple sequences alignment msa', 'substitution model']	[]	[]	['distance matrix', 'multiple sequences alignment msa', 'substitution model']	[]
FastME	output data	2	0	0	0	1.0	1.0	1.0	2	2	0	['distance matrix', 'phylogenetic trees with support values']	[]	[]	['distance matrix', 'phylogenetic trees with support values']	[]
FastME	input format	2	0	0	0	1.0	1.0	1.0	2	2	0	['newick', 'phylip']	[]	[]	['newick', 'phylip']	[]
FastME	output format	2	0	0	0	1.0	1.0	1.0	2	2	0	['newick', 'phylip']	[]	[]	['newick', 'phylip']	[]
PhyML	topic	3	0	0	0	1.0	1.0	1.0	2	2	0	['likelihood-based phylogenetics', 'molecular evolution', 'phylogenetics']	[]	[]	['likelihood-based phylogenetics', 'phylogenetics']	[]
PhyML	operation	1	1	1	0	0.5	0.5	0.5	2	1	1	['tree inference']	['maximum-likelihood tree reconstruction']	['maximum-likelihood tree inference']	['tree inference']	['maximum-likelihood tree reconstruction']
PhyML	input data	2	0	0	0	1.0	1.0	1.0	2	2	0	['multiple sequence alignment', 'sequence evolution model']	[]	[]	['multiple sequence alignment', 'sequence evolution model']	[]
PhyML	output data	1	0	0	0	1.0	1.0	1.0	1	1	0	['phylogeny trees with support values']	[]	[]	['phylogeny trees with support values']	[]
PhyML	input format	1	0	0	0	1.0	1.0	1.0	1	1	0	['phylip']	[]	[]	['phylip']	[]
PhyML	output format	1	0	0	0	1.0	1.0	1.0	1	1	0	['newick']	[]	[]	['newick']	[]
