tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	expert_total	expert_retained_in_consensus	expert_not_retained	TP_annotations	FP_annotations	FN_annotations	expert_retained_annotations	expert_not_retained_annotations
MOFA2	topic	4	0	0	0	1.0	1.0	1.0	2	2	0	['dimensionality reduction', 'factor analysis', 'joint dimension reduction', 'multi-omics data integration']	[]	[]	['joint dimension reduction', 'multi-omics data integration']	[]
MOFA2	operation	6	0	0	0	1.0	1.0	1.0	6	6	0	['bayesian inference', 'feature weights inspection', 'joint matrix factorisation', 'matrix factorization', 'reduction dimension', 'variance decomposition']	[]	[]	['bayesian inference', 'feature weights inspection', 'joint matrix factorisation', 'matrix factorization', 'reduction dimension', 'variance decomposition']	[]
MOFA2	input data	2	0	0	0	1.0	1.0	1.0	2	2	0	['omics matrices', 'paired omics data']	[]	[]	['omics matrices', 'paired omics data']	[]
MOFA2	output data	2	0	0	0	1.0	1.0	1.0	1	1	0	['factors and latent spaces', 'feature loadings']	[]	[]	['factors and latent spaces']	[]
MOFA2	input format	2	0	0	0	1.0	1.0	1.0	2	2	0	['matrices', 'r vectors']	[]	[]	['matrices', 'r vectors']	[]
MOFA2	output format	3	0	0	0	1.0	1.0	1.0	3	3	0	['hdf5', 'matrices', 'mofa object']	[]	[]	['hdf5', 'matrices', 'mofa object']	[]
COBRApy	topic	6	0	0	0	1.0	1.0	1.0	3	3	0	['constraint-based modeling', 'flux balance analysis', 'metabolic modelling', 'metabolic networks', 'metabolic reconstruction', 'systems biology']	[]	[]	['metabolic modelling', 'metabolic networks', 'systems biology']	[]
COBRApy	operation	6	1	1	0	0.86	0.86	0.86	2	1	1	['construction or modification of metabolic models', 'flux variability analysis', 'gene deletion analysis', 'metabolic network simulation', 'model parsing and manipulation', 'optimization']	['constraint-based simulations such as fba.']	['constraint-based simulations such as fba']	['construction or modification of metabolic models']	['constraint-based simulations such as fba.']
COBRApy	input data	4	0	0	0	1.0	1.0	1.0	1	1	0	['constraints', 'metabolic model', 'metabolic network/model or nothing if created from scratch', 'objective functions']	[]	[]	['metabolic network/model or nothing if created from scratch']	[]
COBRApy	output data	3	1	2	0	0.75	0.6	0.67	2	1	1	['flux distributions', 'optimization results', 'results of simulations']	['metabolic network/model']	['metabolic model', 'metabolic network']	['results of simulations']	['metabolic network/model']
