source,domain,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
LLM,Metagenomic,0.418,0.34,0.502,0.382,0.433,0.321
LLM,Phylogeny,0.321,0.337,0.412,0.403,0.34,0.331
LLM,Single_Cell,0.496,0.307,0.412,0.203,0.427,0.234
LLM,Systems_biology,0.718,0.326,0.617,0.247,0.645,0.263
LLM,Neuroimaging,0.333,0.401,0.279,0.34,0.284,0.343
LLM,Genetic_variant,0.458,0.388,0.621,0.431,0.49,0.376
LLM,Microscopy,0.297,0.293,0.362,0.318,0.298,0.27
LLM,Total,0.434,0.342,0.458,0.332,0.417,0.305
Expert,Metagenomic,0.849,0.285,0.876,0.277,0.846,0.265
Expert,Phylogeny,0.972,0.118,0.922,0.157,0.942,0.13
Expert,Single_Cell,0.906,0.153,0.923,0.121,0.904,0.125
Expert,Systems_biology,0.955,0.105,0.968,0.101,0.96,0.098
Expert,Neuroimaging,0.998,0.013,0.969,0.104,0.98,0.066
Expert,Genetic_variant,0.756,0.346,0.858,0.335,0.79,0.331
Expert,Microscopy,0.869,0.284,0.827,0.255,0.829,0.264
Expert,Total,0.901,0.186,0.906,0.193,0.893,0.183
