tools	annotation	candidate EDAM term label	Validation expert	Commentaire expert 1	Commentaire expert 2	hasExactmatch	hasBroader	hasNarrower	EDAM term URI	Comment	domain	edam_category	Commentaire expert 3
AFNI	anatomical mri	MRI image	Yes			No	Yes	No	http://edamontology.org/data_3442		Neuroimaging	data	
AFNI	fmri	MRI image	Yes	functional MRI, Functional magnetic resonance imaging		No	Yes	No	http://edamontology.org/data_3442		Neuroimaging	data	
AFNI	parametric modulation maps	Statistical estimate score	Yes	Statistical estimations		No	Yes	No	http://edamontology.org/data_0951		Neuroimaging	data	
AFNI	nifti	Image format	Yes			No	No	No	http://edamontology.org/format_3549		Neuroimaging	formats	
AFNI	group statistical analysis	Statistical calculation	Yes			No	No	No	http://edamontology.org/operation_2238		Neuroimaging	operations	
AFNI	preprocessing	Standardisation and normalisation	No	Preprocessing		No	Yes	No	http://edamontology.org/operation_3435		Neuroimaging	operations	
AFNI	subject statistical analysis	Statistical calculation	Yes			No	Yes	No	http://edamontology.org/operation_2238		Neuroimaging	operations	
AFNI	visualization	Visualisation	Yes			Yes	No	No	http://edamontology.org/operation_0337		Neuroimaging	operations	
AFNI	voxel-wise regression analysis	Regression analysis	Yes			No	Yes	No	http://edamontology.org/operation_3659		Neuroimaging	operations	
AFNI	brain imaging	Medical imaging	Yes		Medical Imaging	No	Yes	No	http://edamontology.org/topic_3384		Neuroimaging	topics	
AFNI	fmri analysis	MRI	No	fMRI analysis	MRI	No	Yes	No	http://edamontology.org/topic_3444		Neuroimaging	topics	
AFNI	functional & anatomical MRI preprocesing	MRI	Yes	MRI preprocessing	MRI	No	Yes	No	http://edamontology.org/topic_3444		Neuroimaging	topics	
AFNI	neuroimaging	Medical imaging	Yes		Medical Imaging	No	Yes	No	http://edamontology.org/topic_3384		Neuroimaging	topics	
Anvi’o	annotated contigs	Sequence Assembly	No			No	Yes	No	http://edamontology.org/data_0925		Metagenomic	data	
Anvi’o	bins	Sequence set	No			No	Yes	No	http://edamontology.org/data_0850		Metagenomic	data	
Anvi’o	contigs	Sequence Assembly	Yes			No	Yes	No	http://edamontology.org/data_0925		Metagenomic	data	
Anvi’o	functional annotations	Gene functional annotation	Yes			No	No	Yes	http://edamontology.org/operation_3672	operation not a data	Metagenomic	data	
Anvi’o	image	Image	Yes			Yes	No	No	http://edamontology.org/data_2968		Metagenomic	data	
Anvi’o	metabolic profiles	Mass spectrometry data	Yes			No	Yes	No	http://edamontology.org/data_2536		Metagenomic	data	
Anvi’o	phylogenetic tree	Phylogenetic tree	Yes			Yes	No	No	http://edamontology.org/data_0872		Metagenomic	data	
Anvi’o	raw sequence	Sequence trace	No			No	Yes	No	http://edamontology.org/data_0924		Metagenomic	data	
