tools	annotation	candidate EDAM term label	Validation expert	Commentaire expert 1	Commentaire expert 2	hasExactmatch	hasBroader	hasNarrower	EDAM term URI	Comment	domain	edam_category	Commentaire expert 3
MetaBAT2	abundance profiling	Biodiversity data	Yes	Oui mais le terme Biodiversity data est bien plus général.. 		No	Yes	No	http://edamontology.org/data_3707		Metagenomic	data	
Kraken2, mOTUs	abundance table	Biodiversity data	Yes			No	Yes	No	http://edamontology.org/data_3707		Metagenomic	data	
Anvi’o	annotated contigs	Sequence Assembly	No			No	Yes	No	http://edamontology.org/data_0925		Metagenomic	data	
Anvi’o, CONCOCT, MetaBAT2	bins	Sequence set	No			No	Yes	No	http://edamontology.org/data_0850		Metagenomic	data	
MetaBAT2	co-abundance	Biodiversity data	No			No	Yes	No	http://edamontology.org/data_3707		Metagenomic	data	
Anvi’o, CONCOCT, MEGAHIT, MetaBAT2, checkM2	contigs	Sequence Assembly	Yes			No	Yes	No	http://edamontology.org/data_0925		Metagenomic	data	
CONCOCT, MetaBAT2	coverage profiles	Sequence set	No			No	Yes	No	http://edamontology.org/data_0850		Metagenomic	data	
Anvi’o	functional annotations	Gene functional annotation	Yes			No	No	Yes	http://edamontology.org/operation_3672	operation not a data	Metagenomic	data	
GTDB-Tk	genome	Genome report	No			No	Yes	No	http://edamontology.org/data_2711		Metagenomic	data	
Anvi’o	image	Image	Yes			Yes	No	No	http://edamontology.org/data_2968		Metagenomic	data	
Anvi’o	metabolic profiles	Mass spectrometry data	Yes			No	Yes	No	http://edamontology.org/data_2536		Metagenomic	data	
GTDB-Tk	metagenome	Metagenomic sequencing	Yes			No	Yes	No	http://edamontology.org/topic_3837	topic not a data	Metagenomic	data	
CONCOCT, MetaBAT2	metagenome assembled genomes mags	Metagenomic sequencing	No			No	Yes	No	http://edamontology.org/topic_3837	topic not a data	Metagenomic	data	
Anvi’o, GTDB-Tk	phylogenetic tree	Phylogenetic tree	Yes			Yes	No	No	http://edamontology.org/data_0872		Metagenomic	data	
checkM2	quality annotation	Gene features report	No			No	Yes	No	http://edamontology.org/data_0916		Metagenomic	data	
Anvi’o	raw sequence	Sequence trace	No			No	Yes	No	http://edamontology.org/data_0924		Metagenomic	data	
Anvi’o	sequence abundance profile	Sequence set	No			No	Yes	No	http://edamontology.org/data_0850		Metagenomic	data	
Kraken2, MEGAHIT, mOTUs	sequencing reads	Sequence trace	No			No	Yes	No	http://edamontology.org/data_0924		Metagenomic	data	
Kraken2, checkM2, mOTUs	taxonomic annotation	Taxonomic name	Yes			No	No	No	http://edamontology.org/data_1872		Metagenomic	data	
GTDB-Tk	taxonomic labels	Taxonomic name	Yes			No	No	No	http://edamontology.org/data_1872		Metagenomic	data	
Anvi’o	taxonomic profiles	Taxonomic classification	Yes			No	Yes	No	http://edamontology.org/data_1872		Metagenomic	data	
MetaBAT2	tetranucleotide frequencies	Base frequencies table	Yes			Yes	No	No	http://edamontology.org/data_1265		Metagenomic	data	
Anvi’o	tree	Phylogenetic tree	Yes			No	Yes	No	http://edamontology.org/data_0872		Metagenomic	data	
Anvi’o	visualizations	Visualisation	Yes			Yes	No	No	http://edamontology.org/operation_0337	operation not a data	Metagenomic	data	
Anvi’o, MetaBAT2, mOTUs	bam	BAM	Yes			Yes	No	No	http://edamontology.org/format_2572		Metagenomic	formats	
Anvi’o, CONCOCT, GTDB-Tk, MEGAHIT, MetaBAT2, checkM2	fasta	FASTA	Yes			Yes	No	No	http://edamontology.org/format_1929		Metagenomic	formats	
Anvi’o, Kraken2, MEGAHIT, mOTUs	fastq	FASTQ	Yes			Yes	No	No	http://edamontology.org/format_1930		Metagenomic	formats	
Anvi’o, Kraken2	html	HTML	Yes			Yes	No	No	http://edamontology.org/format_2331		Metagenomic	formats	
Anvi’o	jpeg	JPEG	Yes			Yes	No	No	http://edamontology.org/format_3579		Metagenomic	formats	
Anvi’o, GTDB-Tk	json	JSON	Yes			Yes	No	No	http://edamontology.org/format_3464		Metagenomic	formats	
Anvi’o, GTDB-Tk	newick	newick	Yes			Yes	No	No	http://edamontology.org/format_1910		Metagenomic	formats	
Anvi’o	png	PNG	Yes			Yes	No	No	http://edamontology.org/format_3603		Metagenomic	formats	
Anvi’o	svg	SVG	Yes			Yes	No	No	http://edamontology.org/format_3604		Metagenomic	formats	
Anvi’o, CONCOCT, GTDB-Tk, Kraken2, MetaBAT2, checkM2, mOTUs	tsv	TSV	Yes			Yes	No	No	http://edamontology.org/format_3475		Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
											Metagenomic	formats	
						No	No	No			Metagenomic	formats	
						No	No	No			Metagenomic	formats	
						No	No	No			Metagenomic	formats	
						No	No	No			Metagenomic	formats	
						No	No	No			Metagenomic	formats	
						No	No	No			Metagenomic	formats	
						No	No	No			Metagenomic	formats	
						No	No	No			Metagenomic	formats	
						No	No	No			Metagenomic	formats	
						No	No	No			Metagenomic	formats	
						No	No	No			Metagenomic	formats	
						No	No	No			Metagenomic	formats	
						No	No	No			Metagenomic	formats	
						No	No	No			Metagenomic	formats	
						No	No	No			Metagenomic	formats	
						No	No	No			Metagenomic	formats	
						No	No	No			Metagenomic	formats	
						No	No	No			Metagenomic	formats	
						No	No	No			Metagenomic	formats	
						No	No	No			Metagenomic	formats	
						No	No	No			Metagenomic	formats	
MetaBAT2	abundance and composition integration	Enrichment analysis	No			No	Yes	No	http://edamontology.org/operation_3501		Metagenomic	operations	
Kraken2, mOTUs	abundance profiling	Gene expression profiling	No			No	Yes	No	http://edamontology.org/operation_0314		Metagenomic	operations	
mOTUs	activity profiling	Gene expression profiling	Yes			No	Yes	No	http://edamontology.org/operation_0314		Metagenomic	operations	
Anvi’o	annotation edition	Genome annotation	Yes			No	No	Yes	http://edamontology.org/operation_0362		Metagenomic	operations	
Anvi’o	assembly	Sequence assembly	Yes			Yes	No	No	http://edamontology.org/operation_0310		Metagenomic	operations	
CONCOCT, MetaBAT2	binning	Read binning	No			Yes	No	No	http://edamontology.org/operation_3798		Metagenomic	operations	
Anvi’o	binning refinement	Read binning	No			No	Yes	No	http://edamontology.org/operation_3798		Metagenomic	operations	
MEGAHIT	bruijn graph	De Bruijn graph 	Yes			Yes	No	No	http://edamontology.org/operation_0524		Metagenomic	operations	
Anvi’o	functional annotation	Gene functional annotation	Yes			No	No	Yes	http://edamontology.org/operation_3672		Metagenomic	operations	
checkM2	genome annotation	Genome annotation	Yes			Yes	No	No	http://edamontology.org/operation_0362		Metagenomic	operations	
MEGAHIT	genome assemby	Genome assembly	Yes			Yes	No	No	http://edamontology.org/operation_0525		Metagenomic	operations	
checkM2	genome completness	Sequence assembly	No			No	Yes	No	http://edamontology.org/operation_0310		Metagenomic	operations	
checkM2	genome contamination	Sequence contamination filtering	No			No	No	Yes	http://edamontology.org/operation_3187		Metagenomic	operations	
checkM2	genome quality	Sequencing quality control	Yes			No	Yes	No	http://edamontology.org/operation_3218		Metagenomic	operations	
Anvi’o	genomic refining	Sequence assembly	No			No	Yes	No	http://edamontology.org/operation_0310		Metagenomic	operations	
Anvi’o	interactive edition	Editing	Yes			No	Yes	No	http://edamontology.org/operation_3096		Metagenomic	operations	
Anvi’o	interactive visualization	Visualisation	Yes			No	Yes	No	http://edamontology.org/operation_0337		Metagenomic	operations	
MEGAHIT	metagenomic assembly	Sequence assembly	Yes			No	Yes	No	http://edamontology.org/operation_0310		Metagenomic	operations	
GTDB-Tk	phylogenetic inference	Phylogenetic inference	Yes			Yes	No	No	http://edamontology.org/operation_0323		Metagenomic	operations	
Kraken2	sequence classification	Sequence analysis	Yes			No	Yes	No	http://edamontology.org/operation_2403		Metagenomic	operations	
Kraken2, checkM2, mOTUs	taxonomic annotation	Taxonomic classification	Yes			No	Yes	No	http://edamontology.org/operation_3460		Metagenomic	operations	
GTDB-Tk	taxonomic classification	Taxonomic classification	Yes			Yes	Yes	No	http://edamontology.org/operation_3460		Metagenomic	operations	
Anvi’o	taxonomic profiling	Taxonomic classification	Yes			No	Yes	No	http://edamontology.org/operation_3460		Metagenomic	operations	
mOTUs	visualization	Visualisation	Yes			Yes	No	No	http://edamontology.org/operation_0337		Metagenomic	operations	
Anvi’o, mOTUs	workflow	Workflows	Yes			Yes	No	No	http://edamontology.org/topic_0769	topic not a operation	Metagenomic	operations	
											Metagenomic	operations	
											Metagenomic	operations	
											Metagenomic	operations	
											Metagenomic	operations	
											Metagenomic	operations	
											Metagenomic	operations	
											Metagenomic	operations	
											Metagenomic	operations	
											Metagenomic	operations	
											Metagenomic	operations	
											Metagenomic	operations	
											Metagenomic	operations	
											Metagenomic	operations	
											Metagenomic	operations	
											Metagenomic	operations	
											Metagenomic	operations	
											Metagenomic	operations	
											Metagenomic	operations	
											Metagenomic	operations	
											Metagenomic	operations	
											Metagenomic	operations	
											Metagenomic	operations	
											Metagenomic	operations	
											Metagenomic	operations	
											Metagenomic	operations	
						No	No	No			Metagenomic	operations	
						No	No	No			Metagenomic	operations	
						No	No	No			Metagenomic	operations	
						No	No	No			Metagenomic	operations	
						No	No	No			Metagenomic	operations	
						No	No	No			Metagenomic	operations	
						No	No	No			Metagenomic	operations	
						No	No	No			Metagenomic	operations	
						No	No	No			Metagenomic	operations	
						No	No	No			Metagenomic	operations	
						No	No	No			Metagenomic	operations	
						No	No	No			Metagenomic	operations	
						No	No	No			Metagenomic	operations	
						No	No	No			Metagenomic	operations	
						No	No	No			Metagenomic	operations	
						No	No	No			Metagenomic	operations	
						No	No	No			Metagenomic	operations	
						No	No	No			Metagenomic	operations	
						No	No	No			Metagenomic	operations	
						No	No	No			Metagenomic	operations	
						No	No	No			Metagenomic	operations	
CONCOCT	binning	Read binning	No	"Le terme ""read"" me pose problème car concoct ne fonctionne qu'avec des contigs d'une taille minimum de 1000pb donc pas sur des reads  "	Oui le binning se fait généralement au niveau des contigs, et on parle souvent de genome binning	Yes	No	No	http://edamontology.org/operation_3798	Operation not a topic	Metagenomic	topics	
Anvi’o, GTDB-Tk	comparative genomics	Comparative genomics	Yes			Yes	No	No	http://edamontology.org/topic_0797		Metagenomic	topics	
MEGAHIT	de novo assembly	De-novo assembly	Yes			Yes	No	No	http://edamontology.org/operation_0524	Operation not a topic	Metagenomic	topics	
Anvi’o	functional genomics	Functional genomics	Yes			Yes	No	No	http://edamontology.org/topic_0085		Metagenomic	topics	
CONCOCT, MetaBAT2	genome reconstruction	Whole genome sequencing	No	Ces deux outils ne fonctionnent pas sur du whole genome sequencing maus bien sur des metagénomes	Agreed 	No	Yes	No	http://edamontology.org/topic_3673		Metagenomic	topics	
Anvi’o, CONCOCT, GTDB-Tk, Kraken2, MEGAHIT, MetaBAT2, checkM2, mOTUs	metagenomics	Metagenomics	Yes			Yes	No	No	http://edamontology.org/topic_3174		Metagenomic	topics	
GTDB-Tk	phylogenomics	Phylogenomics	Yes			Yes	No	No	http://edamontology.org/topic_0194		Metagenomic	topics	
mOTUs	phylogeny	Phylogeny	Yes			Yes	No	No	http://edamontology.org/topic_0084		Metagenomic	topics	
Kraken2, MEGAHIT, MetaBAT2, checkM2, mOTUs	sequence analysis	Sequence analysis	Yes			Yes	No	No	http://edamontology.org/topic_0080		Metagenomic	topics	
MEGAHIT	sequence assembly	Sequence assembly	Yes			Yes	No	No	http://edamontology.org/topic_0196		Metagenomic	topics	
Kraken2, MEGAHIT, MetaBAT2, checkM2, mOTUs	sequencing	Sequencing	Yes			Yes	No	No	http://edamontology.org/topic_3168		Metagenomic	topics	
MEGAHIT	short reads	DNA-Seq	Yes			No	Yes	No	http://edamontology.org/topic_3168		Metagenomic	topics	
checkM2	taxonomic annotation	Taxonomic classification	Yes			No	Yes	No	http://edamontology.org/operation_3460		Metagenomic	topics	
Kraken2, mOTUs	taxonomic profiling	Taxonomic classification	Yes			No	Yes	No	http://edamontology.org/operation_3460		Metagenomic	topics	
GTDB-Tk	taxonomy	Taxonomic classification	Yes			No	Yes	No	http://edamontology.org/operation_3460		Metagenomic	topics	
											Metagenomic	topics	
											Metagenomic	topics	
											Metagenomic	topics	
											Metagenomic	topics	
											Metagenomic	topics	
											Metagenomic	topics	
											Metagenomic	topics	
											Metagenomic	topics	
											Metagenomic	topics	
											Metagenomic	topics	
											Metagenomic	topics	
											Metagenomic	topics	
											Metagenomic	topics	
											Metagenomic	topics	
											Metagenomic	topics	
											Metagenomic	topics	
											Metagenomic	topics	
											Metagenomic	topics	
											Metagenomic	topics	
											Metagenomic	topics	
											Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
						No	No	No			Metagenomic	topics	
