EDAM term URI	candidate EDAM term label	tools	annotation	domain	edam_category
http://edamontology.org/data_3707	Biodiversity data	MetaBAT2	abundance profiling	Metagenomic	data
http://edamontology.org/data_3707	Biodiversity data	Kraken2, mOTUs	abundance table	Metagenomic	data
http://edamontology.org/data_0925	Sequence Assembly	Anvi’o, CONCOCT, MEGAHIT, MetaBAT2, checkM2	contigs	Metagenomic	data
http://edamontology.org/operation_3672	Gene functional annotation	Anvi’o	functional annotations	Metagenomic	data
http://edamontology.org/data_2968	Image	Anvi’o	image	Metagenomic	data
http://edamontology.org/data_2536	Mass spectrometry data	Anvi’o	metabolic profiles	Metagenomic	data
http://edamontology.org/topic_3837	Metagenomic sequencing	GTDB-Tk	metagenome	Metagenomic	data
http://edamontology.org/data_0872	Phylogenetic tree	Anvi’o, GTDB-Tk	phylogenetic tree	Metagenomic	data
http://edamontology.org/data_1872	Taxonomic name	Kraken2, checkM2, mOTUs	taxonomic annotation	Metagenomic	data
http://edamontology.org/data_1872	Taxonomic name	GTDB-Tk	taxonomic labels	Metagenomic	data
http://edamontology.org/data_1872	Taxonomic classification	Anvi’o	taxonomic profiles	Metagenomic	data
http://edamontology.org/data_1265	Base frequencies table	MetaBAT2	tetranucleotide frequencies	Metagenomic	data
http://edamontology.org/data_0872	Phylogenetic tree	Anvi’o	tree	Metagenomic	data
http://edamontology.org/operation_0337	Visualisation	Anvi’o	visualizations	Metagenomic	data
http://edamontology.org/format_2572	BAM	Anvi’o, MetaBAT2, mOTUs	bam	Metagenomic	formats
http://edamontology.org/format_1929	FASTA	Anvi’o, CONCOCT, GTDB-Tk, MEGAHIT, MetaBAT2, checkM2	fasta	Metagenomic	formats
http://edamontology.org/format_1930	FASTQ	Anvi’o, Kraken2, MEGAHIT, mOTUs	fastq	Metagenomic	formats
http://edamontology.org/format_2331	HTML	Anvi’o, Kraken2	html	Metagenomic	formats
http://edamontology.org/format_3579	JPEG	Anvi’o	jpeg	Metagenomic	formats
http://edamontology.org/format_3464	JSON	Anvi’o, GTDB-Tk	json	Metagenomic	formats
http://edamontology.org/format_1910	newick	Anvi’o, GTDB-Tk	newick	Metagenomic	formats
http://edamontology.org/format_3603	PNG	Anvi’o	png	Metagenomic	formats
http://edamontology.org/format_3604	SVG	Anvi’o	svg	Metagenomic	formats
http://edamontology.org/format_3475	TSV	Anvi’o, CONCOCT, GTDB-Tk, Kraken2, MetaBAT2, checkM2, mOTUs	tsv	Metagenomic	formats
http://edamontology.org/operation_0314	Gene expression profiling	mOTUs	activity profiling	Metagenomic	operations
http://edamontology.org/operation_0362	Genome annotation	Anvi’o	annotation edition	Metagenomic	operations
http://edamontology.org/operation_0310	Sequence assembly	Anvi’o	assembly	Metagenomic	operations
http://edamontology.org/operation_0524	De Bruijn graph 	MEGAHIT	bruijn graph	Metagenomic	operations
http://edamontology.org/operation_3672	Gene functional annotation	Anvi’o	functional annotation	Metagenomic	operations
