tools	EDAM term URI	candidate EDAM term label	annotation	domain	edam_category
AFNI	http://edamontology.org/data_3442	MRI image	anatomical mri	Neuroimaging	data
AFNI	http://edamontology.org/topic_3384	Medical imaging	brain imaging	Neuroimaging	topics
AFNI	http://edamontology.org/data_3442	MRI image	fmri	Neuroimaging	data
AFNI	http://edamontology.org/topic_3444	MRI	functional & anatomical MRI preprocesing	Neuroimaging	topics
AFNI	http://edamontology.org/operation_2238	Statistical calculation	group statistical analysis	Neuroimaging	operations
AFNI	http://edamontology.org/topic_3384	Medical imaging	neuroimaging	Neuroimaging	topics
AFNI	http://edamontology.org/format_3549	Image format	nifti	Neuroimaging	formats
AFNI	http://edamontology.org/operation_2238	Statistical calculation	subject statistical analysis	Neuroimaging	operations
AFNI	http://edamontology.org/operation_0337	Visualisation	visualization	Neuroimaging	operations
Anvio	http://edamontology.org/operation_0362	Genome annotation	annotation edition	Metagenomic	operations
Anvio	http://edamontology.org/operation_0310	Sequence assembly	assembly	Metagenomic	operations
Anvio	http://edamontology.org/format_2572	BAM	bam	Metagenomic	formats
Anvio	http://edamontology.org/topic_0797	Comparative genomics	comparative genomics	Metagenomic	topics
Anvio	http://edamontology.org/data_0925	Sequence Assembly	contigs	Metagenomic	data
Anvio	http://edamontology.org/format_1929	FASTA	fasta	Metagenomic	formats
Anvio	http://edamontology.org/format_1930	FASTQ	fastq	Metagenomic	formats
Anvio	http://edamontology.org/operation_3672	Gene functional annotation	functional annotation	Metagenomic	operations
Anvio	http://edamontology.org/operation_3672	Gene functional annotation	functional annotations	Metagenomic	data
Anvio	http://edamontology.org/topic_0085	Functional genomics	functional genomics	Metagenomic	topics
Anvio	http://edamontology.org/format_2331	HTML	html	Metagenomic	formats
Anvio	http://edamontology.org/data_2968	Image	image	Metagenomic	data
Anvio	http://edamontology.org/operation_3096	Editing	interactive edition	Metagenomic	operations
Anvio	http://edamontology.org/operation_0337	Visualisation	interactive visualization	Metagenomic	operations
Anvio	http://edamontology.org/format_3579	JPEG	jpeg	Metagenomic	formats
Anvio	http://edamontology.org/format_3464	JSON	json	Metagenomic	formats
Anvio	http://edamontology.org/data_2536	Mass spectrometry data	metabolic profiles	Metagenomic	data
Anvio	http://edamontology.org/topic_3174	Metagenomics	metagenomics	Metagenomic	topics
Anvio	http://edamontology.org/format_1910	newick	newick	Metagenomic	formats
Anvio	http://edamontology.org/data_0872	Phylogenetic tree	phylogenetic tree	Metagenomic	data
Anvio	http://edamontology.org/format_3603	PNG	png	Metagenomic	formats
Anvio	http://edamontology.org/format_3604	SVG	svg	Metagenomic	formats
Anvio	http://edamontology.org/data_1872	Taxonomic classification	taxonomic profiles	Metagenomic	data
Anvio	http://edamontology.org/operation_3460	Taxonomic classification	taxonomic profiling	Metagenomic	operations
Anvio	http://edamontology.org/data_0872	Phylogenetic tree	tree	Metagenomic	data
Anvio	http://edamontology.org/format_3475	TSV	tsv	Metagenomic	formats
Anvio	http://edamontology.org/operation_0337	Visualisation	visualizations	Metagenomic	data
Anvio	http://edamontology.org/topic_0769	Workflows	workflow	Metagenomic	operations
Bedtools_annotate	http://edamontology.org/format_3003	BED	bed	Genetic_variant	formats
Bedtools_annotate	http://edamontology.org/format_3016	VCF	vcf	Genetic_variant	formats
Big-FISH	http://edamontology.org/format_3547	Image format	image format	Microscopy	formats
Big-FISH	http://edamontology.org/format_3603	PNG	png	Microscopy	formats
Big-FISH	http://edamontology.org/format_3591	TIFF	tiff	Microscopy	formats
COBRApy	http://edamontology.org/operation_2426	Modelling and simulation	constraint-based modeling	Systems_biology	topics
COBRApy	http://edamontology.org/operation_2426	Modelling and simulation	constraint-based simulations such as fba	Systems_biology	operations
COBRApy	http://edamontology.org/operation_3660	Metabolic network modelling	construction or modification of metabolic models	Systems_biology	operations
COBRApy	http://edamontology.org/format_3464	JSON	json	Systems_biology	formats
COBRApy	http://edamontology.org/format_4007	MATLAB	matlab	Systems_biology	formats
COBRApy	http://edamontology.org/data_0950	Mathematical model	metabolic model	Systems_biology	data
COBRApy	http://edamontology.org/operation_3660	Metabolic network modelling	metabolic modelling	Systems_biology	topics
COBRApy	http://edamontology.org/data_2600	Pathway or network	metabolic network	Systems_biology	data
COBRApy	http://edamontology.org/operation_3660	Metabolic network simulation	metabolic network simulation	Systems_biology	operations
COBRApy	http://edamontology.org/data_2600	Pathway or network	metabolic network/model or nothing if created from scratch	Systems_biology	data
COBRApy	http://edamontology.org/topic_0602	Biological networks	metabolic networks	Systems_biology	topics
COBRApy	http://edamontology.org/operation_3660	Metabolic network reconstruction	metabolic reconstruction	Systems_biology	topics
COBRApy	http://edamontology.org/data_2978	Reaction data	metabolites	Systems_biology	data
COBRApy	http://edamontology.org/operation_2425	Optimisation and refinement	optimization	Systems_biology	operations
COBRApy	http://edamontology.org/operation_2425	Optimisation and refinement	optimization results	Systems_biology	data
COBRApy	http://edamontology.org/data_3869	Simulation	results of simulations	Systems_biology	data
COBRApy	http://edamontology.org/format_2585	SBML	sbml	Systems_biology	formats
COBRApy	http://edamontology.org/topic_2259	Systems biology	systems biology	Systems_biology	topics
COBRApy	http://edamontology.org/format_3750	YAML	yaml	Systems_biology	formats
CONCOCT	http://edamontology.org/data_0925	Sequence Assembly	contigs	Metagenomic	data
CONCOCT	http://edamontology.org/format_1929	FASTA	fasta	Metagenomic	formats
CONCOCT	http://edamontology.org/topic_3174	Metagenomics	metagenomics	Metagenomic	topics
CONCOCT	http://edamontology.org/format_3475	TSV	tsv	Metagenomic	formats
Canu	http://edamontology.org/data_0925	Sequence assembly	assembled contigs	Genetic_variant	data
Canu	http://edamontology.org/data_0925	Sequence assembly	assembled scaffolds	Genetic_variant	data
Canu	http://edamontology.org/operation_0310	Sequence assembly	contig assembly	Genetic_variant	operations
Canu	http://edamontology.org/operation_0524	De-novo assembly	de novo assembly	Genetic_variant	topics
Canu	http://edamontology.org/format_1929	FASTA	fasta	Genetic_variant	formats
Canu	http://edamontology.org/format_1930	FASTQ	fastq	Genetic_variant	formats
Canu	http://edamontology.org/format_3976	GFA 2	gfa	Genetic_variant	formats
Canu	http://edamontology.org/operation_3219	Read pre-processing	long read data processing	Genetic_variant	topics
Canu	http://edamontology.org/data_0924	Sequence trace	raw long sequencing reads	Genetic_variant	data
Canu	http://edamontology.org/operation_0232	Sequence merging	read correction	Genetic_variant	operations
Canu	http://edamontology.org/operation_3192	Sequence trimming	read trimming	Genetic_variant	operations
Canu	http://edamontology.org/data_1234	Sequence set (nucleic acid)	unassembled corrected reads	Genetic_variant	data
CarveMe	http://edamontology.org/operation_3660	Metabolic network modelling	automated model reconstruction	Systems_biology	operations
CarveMe	http://edamontology.org/operation_3660	Metabolic network modelling	community modeling	Systems_biology	topics
CarveMe	http://edamontology.org/operation_2426	Modelling and simulation	draft model generation	Systems_biology	operations
CarveMe	http://edamontology.org/format_1929	FASTA	fasta	Systems_biology	formats
CarveMe	http://edamontology.org/operation_3660	Metabolic network modelling	gap-filling	Systems_biology	operations
CarveMe	http://edamontology.org/operation_3660	Metabolic network modelling	gap-filling of metabolic models	Systems_biology	operations
CarveMe	http://edamontology.org/data_2044	Sequence	gene sequences	Systems_biology	data
CarveMe	http://edamontology.org/operation_0362	Genome annotation	genome annotations	Systems_biology	data
CarveMe	http://edamontology.org/operation_3660	Metabolic network modelling	genome-scale metabolic modeling	Systems_biology	topics
