tools	annotation	candidate EDAM term label	Validation expert	Commentaire expert 1	hasExactmatch	hasBroader	hasNarrower	 EDAM term URI	Comment
CellPose	annotation	Annotated text	No	ensemble de pixels, ou liste de pixel pas du texte	No	Yes	No	http://edamontology.org/data_3779	
deconvolutionLab2	deconvolved image 3d	Image	Yes		No	Yes	No	http://edamontology.org/data_2968	
EcClem	error map in memory	Map data	No	pas sur de ce que veux dire map data (si notion géographique dans le concept)	No	Yes	No	http://edamontology.org/data_2019	not sure
Big-FISH	fluorescence in situ hybriditation (fish) microscopy image	Image	Yes		No	Yes	No	http://edamontology.org/data_2968	
Big-FISH	label mask as np array	3D EM Mask	No	est-ce que 3D EM Mask existe vraiment dans EDAM ? ou dans Edam bioImaging? trop restriuctif en tout cas ici. 	No	No	Yes	http://edamontology.org/data_3806	
CellPose	label masks	3D EM Mask	No		No	No	Yes	http://edamontology.org/data_3806	
Big-FISH	list of detection with additional features	Matrix	Yes	potentiellement texte ou matrice? (liste de positions)	No	Yes	No	http://edamontology.org/data_2082	no matching data, proposition expert matrix
EcClem	list of paired points	Matrix	Yes	idem	No	No	No	http://edamontology.org/data_2082	no matching data, proposition expert matrix
CellPose, EcClem	microscopy images 2d	Image	Yes		No	Yes	No	http://edamontology.org/data_2968	
CellPose, EcClem, deconvolutionLab2	microscopy images 3d	Image	Yes		No	Yes	No	http://edamontology.org/data_2968	
CellPose	model weight	Mathematical model	No	poids de convolution par exemple, par vraiment mathématique (valeurs optimisées)	No	Yes	No	http://edamontology.org/data_0950	
EcClem	overlay image	Image	Yes		No	Yes	No	http://edamontology.org/data_2968	
deconvolutionLab2	point spread function	Image	Yes	ca peut etre une image	No	No	No	http://edamontology.org/data_2968	no matching data,  expert propose Image
CellPose	region of interest	Image	No	ou polygon.	No	Yes	No	http://edamontology.org/data_2968	
CellPose	structured dataset	Data set	Yes		No	Yes	No	http://edamontology.org/data_0006	
EcClem	transformation matrix	Matrix	Yes		No	Yes	No	http://edamontology.org/data_2082	
EcClem	transformed source image	Image	Yes		No	No	No	http://edamontology.org/data_2968	
