tools	annotation	candidate EDAM term label	Validation expert	Commentaire expert 1	hasExactmatch	hasBroader	hasNarrower	 EDAM term URI	Comment
EcClem	csv	CSV	Yes		Yes	No	No	http://edamontology.org/format_3752	
Big-FISH, EcClem, deconvolutionLab2	image format	Image format	Yes		Yes	No	No	http://edamontology.org/format_3547	
CellPose	imagej rois	Textual format	Yes	potentiellement texte	No	Yes	No	http://edamontology.org/format_2330	no matching format, proposition expert Textual format
Big-FISH	jpeg	JPEG	Yes		Yes	No	No	http://edamontology.org/format_3579	
CellPose	jpegs	JPEG	Yes		Yes	No	No	http://edamontology.org/format_3579	
Big-FISH	jpg	JPG	Yes		Yes	No	No	http://edamontology.org/format_3579	
EcClem, deconvolutionLab2	microscopy image format	Image format	Yes		No	No	No	http://edamontology.org/format_3547	
CellPose	model cellpose	Binary format	Yes	fichier binaire? compatible uniquement cellpose	No	Yes	No	http://edamontology.org/format_2333	no matching format, proposition expert Binary format 
CellPose	npy	Binary format	Yes	idem.	No	Yes	No	http://edamontology.org/format_2333	no matching format, proposition expert Binary format 
Big-FISH, CellPose	png	PNG	Yes		Yes	No	No	http://edamontology.org/format_3603	
Big-FISH	tif	TIFF	Yes	tiff ok si tif n'existe pas	No	Yes	No	http://edamontology.org/format_3591	no matching format, proposition expert TIFF
Big-FISH, CellPose	tiff	TIFF	Yes		Yes	No	No	http://edamontology.org/format_3591	
Big-FISH	txt	Plain text format	Yes		Yes	No	No	http://edamontology.org/format_2330	
EcClem	xml	XML	Yes		Yes	No	No	http://edamontology.org/format_2332	
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
					No	No	No		
					No	No	No		
					No	No	No		
					No	No	No		
					No	No	No		
					No	No	No		
					No	No	No		
					No	No	No		
					No	No	No		
					No	No	No		
					No	No	No		
					No	No	No		
					No	No	No		
					No	No	No		
					No	No	No		
					No	No	No		
					No	No	No		
					No	No	No		
					No	No	No		
					No	No	No		
					No	No	No		
