tools	annotation	candidate EDAM term label	Validation expert	Commentaire expert 1	Commentaire expert 2	Commentaire expert 3	hasExactmatch	hasBroader	hasNarrower	 EDAM term URI	Comment
CarveMe	community modeling	Metabolic network modelling	Yes				No	No	Yes	http://edamontology.org/operation_3660	Operation not a topic
CarveMe	genome-scale metabolic modeling	Metabolic network modelling	Yes				No	Yes	No	http://edamontology.org/operation_3660	operation not a topic
CarveMe	microbiology	Microbiology	Yes				Yes	No	No	http://edamontology.org/topic_3301	
COBRApy	constraint-based modeling	Modelling and simulation	Yes				No	Yes	No	http://edamontology.org/operation_2426	Operation not a topic
COBRApy	flux balance analysis	Fluxomics	No	For me these are two different concepts			No	Yes	No	http://edamontology.org/topic_3955	
COBRApy, CarveMe	metabolic networks	Biological networks	Yes				No	Yes	No	http://edamontology.org/topic_0602	
COBRApy, CarveMe	metabolic reconstruction	Metabolic network reconstruction	Yes				Yes	No	No	http://edamontology.org/operation_3660	operation not a topic
COBRApy, CarveMe, Cytoscape, Fluxer, GSEA, String.db	systems biology	Systems biology	Yes				Yes	No	No	http://edamontology.org/topic_2259	
COBRApy, Fluxer	metabolic modelling	Metabolic network modelling	Yes				Yes	No	No	http://edamontology.org/operation_3660	operation not a topic
Cytoscape	co-occurrence networks	Molecular interactions, pathways and networks	Yes				No	Yes	No	http://edamontology.org/topic_0602	
Cytoscape	data integration	Data integration and warehousing	No	"I think in EDAM ""data integration"" is different from what we think about data integration, it's more related to requesting different data sources and databases"		I'm agree withe the expert 1	Yes	No	No	http://edamontology.org/topic_3366	
Cytoscape	graph theory	Molecular interactions, pathways and networks	Yes				No	Yes	No	http://edamontology.org/topic_0602	
Cytoscape	metabolic pathways	Metabolic pathway prediction	No	Not really prediction.	1	Idem	No	Yes	No	http://edamontology.org/operation_3929	operation not a topic
Cytoscape	molecular interaction networks	Molecular interactions, pathways and networks	Yes				Yes	No	No	http://edamontology.org/topic_0602	
Cytoscape	network handling	Network analysis	Yes				No	Yes	No	http://edamontology.org/operation_3927	operation not a topic
Cytoscape	network visualisation	Network visualisation	Yes				Yes	No	No	http://edamontology.org/operation_3925	operation not a topic
Cytoscape	protein-protein interactions	Protein interactions	Yes				No	Yes	No	http://edamontology.org/topic_0128	
