io_type,annotation,tools,tool_count
Input,alignment file,"Samtools_index, Sniffles2",2
Input,alignments sequence,htseq-count,1
Input,annotation tracks,Bedtools_annotate,1
Input,differential expression results,ClusterProfiler,1
Input,experimental design metadata,deseq2,1
Input,expression matrix,deseq2,1
Input,gene annotation,"STAR, htseq-count",2
Input,gene lists,ClusterProfiler,1
Input,genomic features,Bedtools_annotate,1
Input,ontology datasets,ClusterProfiler,1
Input,raw long sequencing reads,Canu,1
Input,raw reads,Minimap2,1
Input,raw sequencing reads,STAR,1
Input,reference genome,"Minimap2, STAR, Sniffles2, bwa",4
Input,reference reads,Minimap2,1
Input,sequence variants,Bedtools_annotate,1
Input,short sequencing reads,bwa,1
Output,alignment file,"STAR, bwa",2
Output,annotated intervals,Bedtools_annotate,1
Output,assembled contigs,Canu,1
Output,assembled scaffolds,Canu,1
Output,coverage statistics,Bedtools_annotate,1
Output,differential expression results,deseq2,1
Output,enrichment results,ClusterProfiler,1
Output,expression matrix,htseq-count,1
Output,index alignment file,Samtools_index,1
Output,normalize expression matrix,deseq2,1
Output,sequence alignment formats,Minimap2,1
Output,structural sequence variants,Sniffles2,1
Output,unassembled corrected reads,Canu,1
Output,visualizations,ClusterProfiler,1
