annotation,tools,tool_count
alignment of dna sequencing to reference sequence (or genome),bwa,1
alignment of long reads to reference sequence (or genome),Minimap2,1
alignment of rna sequencing to reference sequence (or genome),STAR,1
biological theme comparison,ClusterProfiler,1
contig assembly,Canu,1
counting reads in features,htseq-count,1
data visualization,ClusterProfiler,1
detection of structural variants from long reads,Sniffles2,1
gene set enrichment analysis,ClusterProfiler,1
genomic interval annotation,Bedtools_annotate,1
id conversion,ClusterProfiler,1
indexing alignment file,Samtools_index,1
normalization of expression matrix,deseq2,1
over-representation analysis,ClusterProfiler,1
read correction,Canu,1
read mapping,STAR,1
read trimming,Canu,1
semantic similarity analysis,ClusterProfiler,1
statistical differential gene expression detection,deseq2,1
