annotation,tools,tool_count
clustering,ClusterProfiler,1
condition comparisons,deseq2,1
de novo assembly,Canu,1
detection of structural variants,Sniffles2,1
differential gene expression,deseq2,1
dna sequence aligner to reference sequences,Minimap2,1
dna sequencing,"Samtools_index, bwa",2
enrichment analysis for omics data,ClusterProfiler,1
gene expression quantification,htseq-count,1
genomic comparaison,Bedtools_annotate,1
long read data processing,Canu,1
rna sequence aligner to reference sequences,Minimap2,1
rna sequencing,"STAR, deseq2, htseq-count",3
rna-seq,deseq2,1
sequence alignment,"STAR, Samtools_index, bwa",3
visualization of enrichment data,ClusterProfiler,1
