io_type,annotation,tools,tool_count
Input,contigs,"Anvi’o, CONCOCT, MetaBAT2, checkM2",4
Input,coverage profiles,"CONCOCT, MetaBAT2",2
Input,functional annotations,Anvi’o,1
Input,genome,GTDB-Tk,1
Input,metagenome,GTDB-Tk,1
Input,raw sequence,Anvi’o,1
Input,sequence abundance profile,Anvi’o,1
Input,sequencing reads,"Kraken2, MEGAHIT, mOTUs",3
Input,taxonomic profiles,Anvi’o,1
Input,tetranucleotide frequencies,MetaBAT2,1
Output,abundance profiling,MetaBAT2,1
Output,abundance table,"Kraken2, mOTUs",2
Output,annotated contigs,Anvi’o,1
Output,bins,"Anvi’o, CONCOCT, MetaBAT2",3
Output,co-abundance,MetaBAT2,1
Output,contigs,MEGAHIT,1
Output,image,Anvi’o,1
Output,metabolic profiles,Anvi’o,1
Output,metagenome assembled genomes mags,"CONCOCT, MetaBAT2",2
Output,phylogenetic tree,"Anvi’o, GTDB-Tk",2
Output,quality annotation,checkM2,1
Output,taxonomic annotation,"Kraken2, checkM2, mOTUs",3
Output,taxonomic labels,GTDB-Tk,1
Output,tree,Anvi’o,1
Output,visualizations,Anvi’o,1
