annotation,tools,tool_count
abundance and composition integration,MetaBAT2,1
abundance profiling,"Kraken2, mOTUs",2
activity profiling,mOTUs,1
annotation edition,Anvi’o,1
assembly,Anvi’o,1
binning,"CONCOCT, MetaBAT2",2
binning refinement,Anvi’o,1
bruijn graph,MEGAHIT,1
functional annotation,Anvi’o,1
genome annotation,checkM2,1
genome assemby,MEGAHIT,1
genome completness,checkM2,1
genome contamination,checkM2,1
genome quality,checkM2,1
genomic refining,Anvi’o,1
interactive edition,Anvi’o,1
interactive visualization,Anvi’o,1
metagenomic assembly,MEGAHIT,1
phylogenetic inference,GTDB-Tk,1
sequence classification,Kraken2,1
taxonomic annotation,"Kraken2, checkM2, mOTUs",3
taxonomic classification,GTDB-Tk,1
taxonomic profiling,Anvi’o,1
visualization,mOTUs,1
workflow,"Anvi’o, mOTUs",2
