annotation,tools,tool_count
binning,CONCOCT,1
comparative genomics,"Anvi’o, GTDB-Tk",2
de novo assembly,MEGAHIT,1
functional genomics,Anvi’o,1
genome reconstruction,"CONCOCT, MetaBAT2",2
metagenomics,"Anvi’o, CONCOCT, GTDB-Tk, Kraken2, MEGAHIT, MetaBAT2, checkM2, mOTUs",8
phylogenomics,GTDB-Tk,1
phylogeny,mOTUs,1
sequence analysis,"Kraken2, MEGAHIT, MetaBAT2, checkM2, mOTUs",5
sequence assembly,MEGAHIT,1
sequencing,"Kraken2, MEGAHIT, MetaBAT2, checkM2, mOTUs",5
short reads,MEGAHIT,1
taxonomic annotation,checkM2,1
taxonomic profiling,"Kraken2, mOTUs",2
taxonomy,GTDB-Tk,1
