io_type,annotation,tools,tool_count
Input,annotation,CellPose,1
Input,fluorescence in situ hybriditation (fish) microscopy image,Big-FISH,1
Input,list of paired points,EcClem,1
Input,microscopy images 2d,"CellPose, EcClem",2
Input,microscopy images 3d,"CellPose, EcClem, deconvolutionLab2",3
Input,point spread function,deconvolutionLab2,1
Output,deconvolved image 3d,deconvolutionLab2,1
Output,error map in memory,EcClem,1
Output,label mask as np array,Big-FISH,1
Output,label masks,CellPose,1
Output,list of detection with additional features,Big-FISH,1
Output,model weight,CellPose,1
Output,overlay image,EcClem,1
Output,point spread function,deconvolutionLab2,1
Output,region of interest,CellPose,1
Output,structured dataset,CellPose,1
Output,transformation matrix,EcClem,1
Output,transformed source image,EcClem,1
