io_type,annotation,tools,tool_count
Input,jpeg,Big-FISH,1
Input,jpegs,CellPose,1
Input,jpg,Big-FISH,1
Input,microscopy image format,"EcClem, deconvolutionLab2",2
Input,npy,CellPose,1
Input,png,"Big-FISH, CellPose",2
Input,tif,Big-FISH,1
Input,tiff,"Big-FISH, CellPose",2
Input,xml,EcClem,1
Output,csv,EcClem,1
Output,image format,"Big-FISH, EcClem, deconvolutionLab2",3
Output,imagej rois,CellPose,1
Output,model cellpose,CellPose,1
Output,npy,CellPose,1
Output,png,CellPose,1
Output,txt,Big-FISH,1
Output,xml,EcClem,1
