tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	TP_annotations	FP_annotations	FN_annotations	expert_total	expert_retained_in_consensus	expert_not_retained	expert_retained_annotations	expert_not_retained_annotations
SPM	topic	6	0	0	0	1.0	1.0	1.0	['anatomical mri processing', 'brain imaging', 'eeg analysis', 'fmri analysis', 'meg analysis', 'neuroimaging']	[]	[]	4	4	0	['anatomical mri processing', 'brain imaging', 'fmri analysis', 'neuroimaging']	[]
SPM	operation	4	0	0	0	1.0	1.0	1.0	['group statistical analysis', 'preprocessing', 'subject statistical analysis', 'visualization']	[]	[]	4	4	0	['group statistical analysis', 'preprocessing', 'subject statistical analysis', 'visualization']	[]
SPM	input data	6	0	0	0	1.0	1.0	1.0	['anatomical mri', 'eeg', 'fmri', 'meg', 'pet', 'spect']	[]	[]	6	6	0	['anatomical mri', 'eeg', 'fmri', 'meg', 'pet', 'spect']	[]
SPM	output data	3	0	0	0	1.0	1.0	1.0	['preprocessed data', 'results reports', 'statistical parametric maps']	[]	[]	3	3	0	['preprocessed data', 'results reports', 'statistical parametric maps']	[]
SPM	input format	2	0	0	0	1.0	1.0	1.0	['dicom', 'nifti']	[]	[]	2	2	0	['dicom', 'nifti']	[]
SPM	output format	5	0	0	0	1.0	1.0	1.0	['jpeg', 'mat', 'nifti', 'pdf', 'ps']	[]	[]	5	5	0	['jpeg', 'mat', 'nifti', 'pdf', 'ps']	[]
Freesurfer	topic	4	0	0	0	1.0	1.0	1.0	['brain imaging', 'diffusion mri tractography', 'fmri surface analysis', 'neuroimaging']	[]	[]	4	4	0	['brain imaging', 'diffusion mri tractography', 'fmri surface analysis', 'neuroimaging']	[]
Freesurfer	operation	4	0	0	0	1.0	1.0	1.0	['morphometry analysis', 'surface modelling', 'tractography', 'whole-brain analysis']	[]	[]	4	4	0	['morphometry analysis', 'surface modelling', 'tractography', 'whole-brain analysis']	[]
Freesurfer	input data	4	0	0	0	1.0	1.0	1.0	['anatomical mri', 'diffusion mri', 'fmri', 'pet']	[]	[]	4	4	0	['anatomical mri', 'diffusion mri', 'fmri', 'pet']	[]
Freesurfer	output data	3	0	0	0	1.0	1.0	1.0	['cortical parcellations', 'surface maps', 'volumetric segmentation']	[]	[]	3	3	0	['cortical parcellations', 'surface maps', 'volumetric segmentation']	[]
Freesurfer	input format	2	0	0	0	1.0	1.0	1.0	['dicom', 'nifti']	[]	[]	2	2	0	['dicom', 'nifti']	[]
Freesurfer	output format	14	1	0	0	0.93	1.0	0.96	['annot', 'bfloat', 'bshort', 'cor', 'curv', 'dat', 'gca', 'gcs', 'm3d', 'mgh', 'mgz', 'patch', 'surface', 'xfm']	['w']	[]	15	14	1	['annot', 'bfloat', 'bshort', 'cor', 'curv', 'dat', 'gca', 'gcs', 'm3d', 'mgh', 'mgz', 'patch', 'surface', 'xfm']	['w']
