io_type,annotation,tools,tool_count
Input,anatomical mri,"AFNI, FSL, Freesurfer, SPM",4
Input,diffusion mri,"FSL, Freesurfer",2
Input,eeg,SPM,1
Input,fmri,"AFNI, FMRIprep, FSL, Freesurfer, SPM",5
Input,meg,SPM,1
Input,pet,"Freesurfer, SPM",2
Input,spect,SPM,1
Output,cortical parcellations,Freesurfer,1
Output,parametric modulation maps,AFNI,1
Output,preprocessed data,"FSL, SPM",2
Output,preprocessed fmri,FMRIprep,1
Output,reports,"FMRIprep, FSL",2
Output,results reports,SPM,1
Output,statistical maps,FSL,1
Output,statistical parametric maps,SPM,1
Output,surface maps,Freesurfer,1
Output,volumetric segmentation,Freesurfer,1
