io_type,annotation,tools,tool_count
Input,bids,FMRIprep,1
Input,brik/head,AFNI,1
Input,dicom,"Freesurfer, SPM",2
Input,nifti,"AFNI, FMRIprep, FSL, Freesurfer, SPM",5
Input,nifti.gz,FSL,1
Output,annot,Freesurfer,1
Output,bfloat,Freesurfer,1
Output,brik/head,AFNI,1
Output,bshort,Freesurfer,1
Output,cor,Freesurfer,1
Output,curv,Freesurfer,1
Output,dat,Freesurfer,1
Output,gca,Freesurfer,1
Output,gcs,Freesurfer,1
Output,html,"FMRIprep, FSL",2
Output,jpeg,SPM,1
Output,m3d,Freesurfer,1
Output,mat,SPM,1
Output,mgh,Freesurfer,1
Output,mgz,Freesurfer,1
Output,nifti,"AFNI, FMRIprep, FSL, SPM",4
Output,nifti.gz,FSL,1
Output,patch,Freesurfer,1
Output,pdf,SPM,1
Output,ps,SPM,1
Output,surface,Freesurfer,1
Output,tsv,FMRIprep,1
Output,xfm,Freesurfer,1
