io_type,annotation,tools,tool_count
Input,atacseq data,"Scanpy, Seurat",2
Input,cell metadata,"Monocle3, Scanpy, Seurat",3
Input,cite-seq,"Scanpy, Seurat",2
Input,expression matrices,Monocle3,1
Input,feature metadata,"Scanpy, Seurat",2
Input,images,"Scanpy, Seurat",2
Input,raw count matrix,"Scanpy, Seurat",2
Input,scrna-seq data,"Scanpy, Seurat",2
Input,spatial transcriptomic,"Scanpy, Seurat",2
Output,branch labels,Monocle3,1
Output,cell embeddings,Seurat,1
Output,cluster labels,"Scanpy, Seurat",2
Output,differential expression results,"Monocle3, Scanpy",2
Output,expression matrix,Seurat,1
Output,plots,"Monocle3, Scanpy, Seurat",3
Output,processed expression matrix,Scanpy,1
Output,pseudotime values,"Monocle3, Scanpy",2
Output,table results,"Scanpy, Seurat",2
Output,trajectory graph,"Monocle3, Scanpy",2
Output,trajectory tree,"Monocle3, Scanpy",2
