annotation,tools,tool_count
cell trajectories inference,Monocle3,1
cell trajectory inference,Scanpy,1
clustering,"Monocle3, Scanpy, Seurat",3
data integration,"Scanpy, Seurat",2
differential expression over cell trajectory,Monocle3,1
differential expression testing,"Scanpy, Seurat",2
dimensionality reduction,"Scanpy, Seurat",2
normalization,"Monocle3, Scanpy, Seurat",3
pseudotime analysis,Scanpy,1
quality control,Monocle3,1
quality controls,"Scanpy, Seurat",2
reduction dimensions,Monocle3,1
visualisations,Monocle3,1
visualization,"Scanpy, Seurat",2
