tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	TP_annotations	FP_annotations	FN_annotations	deepseek_total	deepseek_retained_in_consensus	deepseek_not_retained	mixed_annotations_count	deepseek_retained_annotations	deepseek_not_retained_annotations	mixed_annotations
Cytoscape	topic	7	1	5	0	0.88	0.58	0.7	['co-occurrence networks', 'metabolic pathways', 'molecular interaction networks', 'network biology', 'protein-protein interactions', 'systems biology', 'visualization']	['bioinformatics']	['data integration', 'graph theory', 'network exploration', 'network handling', 'network visualisation']	8	7	1	0	['co-occurrence networks', 'metabolic pathways', 'molecular interaction networks', 'network biology', 'protein-protein interactions', 'systems biology', 'visualization']	['bioinformatics']	[]
Cytoscape	operation	5	3	5	0	0.62	0.5	0.55	['app-based extensibility', 'automation via scripting', 'cluster detection', 'data integration', 'network visualization']	['attribute-based mapping', 'graph analysis', 'pathway mapping']	['construction of networks', 'edition of networks', 'graph metrics', 'graph topology', 'network exploration']	8	5	3	0	['app-based extensibility', 'automation via scripting', 'cluster detection', 'data integration', 'network visualization']	['attribute-based mapping', 'graph analysis', 'pathway mapping']	[]
Cytoscape	input data	2	5	2	0	0.29	0.5	0.37	['edge attribute', 'node attribute']	['annotated genomes', 'attribute data', 'network topology', 'node and edge tables', 'phenotypic traits']	['list of nodes and edges', 'network']	5	0	5	2	[]	['annotated genomes', 'attribute data', 'network topology', 'node and edge tables', 'phenotypic traits']	['edge attribute', 'node attribute']
Cytoscape	output data	1	4	3	0	0.2	0.25	0.22	['images']	['annotated graphs', 'interaction predictions', 'statistical results', 'visualized networks']	['analysis report', 'metrics', 'network']	4	0	4	1	[]	['annotated graphs', 'interaction predictions', 'statistical results', 'visualized networks']	['images']
Cytoscape	input format	6	0	3	0	1.0	0.67	0.8	['csv', 'gml', 'graphml', 'sif', 'tsv', 'xgmml']	[]	['biopax', 'sbml', 'xls']	6	6	0	0	['csv', 'gml', 'graphml', 'sif', 'tsv', 'xgmml']	[]	[]
Cytoscape	output format	4	1	3	0	0.8	0.57	0.67	['html', 'pdf', 'png', 'svg']	['cytoscape session files (cys)']	['cys', 'jpeg', 'sif']	5	4	1	0	['html', 'pdf', 'png', 'svg']	['cytoscape session files (cys)']	[]
MULTIXRANK	topic	3	2	2	0	0.6	0.6	0.6	['multi-layer networks', 'network biology', 'node prioritization']	['pathway analysis', 'systems medicine']	['network analysis', 'network exploration']	5	3	2	0	['multi-layer networks', 'network biology', 'node prioritization']	['pathway analysis', 'systems medicine']	[]
MULTIXRANK	operation	3	2	1	0	0.6	0.75	0.67	['network propagation', 'prioritization algorithm', 'random walk with restart']	['cross-layer scoring', 'weighted aggregation']	['heterogeneous networks']	5	3	2	0	['network propagation', 'prioritization algorithm', 'random walk with restart']	['cross-layer scoring', 'weighted aggregation']	[]
MULTIXRANK	input data	3	1	2	0	0.75	0.6	0.67	['edge weights', 'multi-layer network graphs', 'seed nodes']	['node features']	['heterogeneous networks', 'network and seed']	4	3	1	0	['edge weights', 'multi-layer network graphs', 'seed nodes']	['node features']	[]
MULTIXRANK	output data	2	0	2	0	1.0	0.5	0.67	['ranked node lists', 'scores']	[]	['network ranking', 'network result']	2	2	0	0	['ranked node lists', 'scores']	[]	[]
MULTIXRANK	input format	5	0	2	0	1.0	0.71	0.83	['csv', 'gmt', 'json', 'sif', 'tsv']	[]	['txt', 'yaml']	5	5	0	0	['csv', 'gmt', 'json', 'sif', 'tsv']	[]	[]
MULTIXRANK	output format	2	0	1	0	1.0	0.67	0.8	['csv', 'tsv']	[]	['sif']	2	2	0	0	['csv', 'tsv']	[]	[]
GSEA	topic	5	2	1	0	0.71	0.83	0.77	['enrichment analysis', 'functional genomics', 'molecular signatures', 'pathway analysis', 'systems biology']	['phenotype association', 'transcriptomics']	['functional annotation']	7	5	2	0	['enrichment analysis', 'functional genomics', 'molecular signatures', 'pathway analysis', 'systems biology']	['phenotype association', 'transcriptomics']	[]
GSEA	operation	6	1	2	0	0.86	0.75	0.8	['gene set scoring', 'multi-omics integration', 'rank-based enrichment', 'single-sample variant', 'statistical permutation', 'visualization']	['normalization']	['functional enrichment analysis', 'gene set enrichment analysis']	7	6	1	0	['gene set scoring', 'multi-omics integration', 'rank-based enrichment', 'single-sample variant', 'statistical permutation', 'visualization']	['normalization']	[]
GSEA	input data	2	1	1	0	0.67	0.67	0.67	['gene expression matrix', 'gene sets']	['phenotype labels']	['ranked list genes/proteins (with weights) and annotations data (cellular functions/biological processes)']	3	2	1	0	['gene expression matrix', 'gene sets']	['phenotype labels']	[]
GSEA	output data	4	0	3	0	1.0	0.57	0.73	['enrichment scores', 'false discovery rates (fdr)', 'normalized enrichment plots', 'ranked gene lists']	[]	['annotation p values', 'graph', 'pictures']	4	4	0	0	['enrichment scores', 'false discovery rates (fdr)', 'normalized enrichment plots', 'ranked gene lists']	[]	[]
GSEA	input format	4	0	2	0	1.0	0.67	0.8	['cls', 'gct', 'gmt', 'gmx']	[]	['gst', 'txt']	4	4	0	0	['cls', 'gct', 'gmt', 'gmx']	[]	[]
