tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	TP_annotations	FP_annotations	FN_annotations	expert_total	expert_retained_in_consensus	expert_not_retained	expert_retained_annotations	expert_not_retained_annotations
Cytoscape	topic	12	0	0	0	1.0	1.0	1.0	['co-occurrence networks', 'data integration', 'graph theory', 'metabolic pathways', 'molecular interaction networks', 'network biology', 'network exploration', 'network handling', 'network visualisation', 'protein-protein interactions', 'systems biology', 'visualization']	[]	[]	5	5	0	['data integration', 'graph theory', 'network exploration', 'network handling', 'network visualisation']	[]
Cytoscape	operation	10	0	0	0	1.0	1.0	1.0	['app-based extensibility', 'automation via scripting', 'cluster detection', 'construction of networks', 'data integration', 'edition of networks', 'graph metrics', 'graph topology', 'network exploration', 'network visualization']	[]	[]	6	6	0	['construction of networks', 'edition of networks', 'graph metrics', 'graph topology', 'network exploration', 'network visualization']	[]
Cytoscape	input data	2	2	2	0	0.5	0.5	0.5	['list of nodes and edges', 'network']	['edge metadata', 'node metadata']	['edge attribute', 'node attribute']	4	2	2	['list of nodes and edges', 'network']	['edge metadata', 'node metadata']
Cytoscape	output data	3	1	1	0	0.75	0.75	0.75	['analysis report', 'metrics', 'network']	['pictures']	['images']	4	3	1	['analysis report', 'metrics', 'network']	['pictures']
Cytoscape	input format	9	1	0	0	0.9	1.0	0.95	['biopax', 'csv', 'gml', 'graphml', 'sbml', 'sif', 'tsv', 'xgmml', 'xls']	['txt']	[]	8	7	1	['biopax', 'gml', 'graphml', 'sbml', 'sif', 'tsv', 'xls']	['txt']
Cytoscape	output format	7	2	0	0	0.78	1.0	0.88	['cys', 'html', 'jpeg', 'pdf', 'png', 'sif', 'svg']	['text', 'txt']	[]	9	7	2	['cys', 'html', 'jpeg', 'pdf', 'png', 'sif', 'svg']	['text', 'txt']
MULTIXRANK	topic	5	0	0	0	1.0	1.0	1.0	['multi-layer networks', 'network analysis', 'network biology', 'network exploration', 'node prioritization']	[]	[]	2	2	0	['network analysis', 'network exploration']	[]
MULTIXRANK	operation	4	0	0	0	1.0	1.0	1.0	['heterogeneous networks', 'network propagation', 'prioritization algorithm', 'random walk with restart']	[]	[]	2	2	0	['heterogeneous networks', 'random walk with restart']	[]
MULTIXRANK	input data	5	0	0	0	1.0	1.0	1.0	['edge weights', 'heterogeneous networks', 'multi-layer network graphs', 'network and seed', 'seed nodes']	[]	[]	2	2	0	['heterogeneous networks', 'network and seed']	[]
MULTIXRANK	output data	4	0	0	0	1.0	1.0	1.0	['network ranking', 'network result', 'ranked node lists', 'scores']	[]	[]	2	2	0	['network ranking', 'network result']	[]
MULTIXRANK	input format	7	0	0	0	1.0	1.0	1.0	['csv', 'gmt', 'json', 'sif', 'tsv', 'txt', 'yaml']	[]	[]	3	3	0	['tsv', 'txt', 'yaml']	[]
