io_type,annotation,tools,tool_count
Input,adjacency matrix,RWR,1
Input,api queries,String.db,1
Input,biopax,Cytoscape,1
Input,cls,GSEA,1
Input,csv,"Cytoscape, MULTIXRANK, SNF, String.db",4
Input,edge list,RWR,1
Input,fasta,"CarveMe, String.db, eggNOG-mapper",3
Input,gct,GSEA,1
Input,gml,Cytoscape,1
Input,gmt,"GSEA, MULTIXRANK",2
Input,gmx,GSEA,1
Input,graphml,"Cytoscape, RWR",2
Input,gst,GSEA,1
Input,gzip,eggNOG-mapper,1
Input,json,"COBRApy, MULTIXRANK",2
Input,matlab,COBRApy,1
Input,matrices,MOFA2,1
Input,matrix,SNF,1
Input,r vectors,MOFA2,1
Input,sbml,"COBRApy, CarveMe, Cytoscape, Fluxer",4
Input,seed,RWR,1
Input,sif,"Cytoscape, MULTIXRANK",2
Input,tsv,"Cytoscape, MULTIXRANK, SNF",3
Input,txt,"GSEA, MULTIXRANK, String.db",3
Input,xgmml,Cytoscape,1
Input,xls,Cytoscape,1
Input,yaml,"COBRApy, MULTIXRANK",2
Output,csv,"GSEA, MULTIXRANK, RWR, SNF",4
Output,cys,"Cytoscape, String.db",2
Output,cytoscape-compatible formats,String.db,1
Output,edge lists,RWR,1
Output,excel files,GSEA,1
Output,fi,GSEA,1
Output,gml,RWR,1
Output,graph files,SNF,1
Output,graphml,Fluxer,1
Output,hdf5,MOFA2,1
Output,html,Cytoscape,1
Output,html reports,GSEA,1
Output,jpeg,Cytoscape,1
Output,json,"COBRApy, CarveMe, String.db, eggNOG-mapper",4
Output,matlab,"COBRApy, CarveMe",2
Output,matrices,MOFA2,1
Output,matrix,SNF,1
Output,mofa object,MOFA2,1
Output,pdf,"Cytoscape, Fluxer, GSEA",3
Output,png,"Cytoscape, Fluxer, String.db",3
Output,png jpeg,GSEA,1
Output,sbml,"COBRApy, CarveMe, Fluxer",3
Output,seed,RWR,1
Output,sif,"Cytoscape, MULTIXRANK, RWR",3
Output,svg,"Cytoscape, Fluxer, GSEA, String.db",4
Output,tsv,"GSEA, MULTIXRANK, RWR, SNF, String.db, eggNOG-mapper",6
Output,txt,GSEA,1
Output,visualization files,RWR,1
Output,xml,String.db,1
Output,yaml,"COBRApy, CarveMe",2
