annotation,tools,tool_count
analysis report,Cytoscape,1
annotated flux maps,Fluxer,1
annotation p values,GSEA,1
biochemical pathway diagrams,Fluxer,1
confidence scores,String.db,1
convergence scores,RWR,1
enrichment results,String.db,1
enrichment scores,GSEA,1
factors and latent spaces,MOFA2,1
false discovery rates (fdr),GSEA,1
feature loadings,MOFA2,1
flux distributions,COBRApy,1
functional annotations,"String.db, eggNOG-mapper",2
fused networks,SNF,1
fused similarity matrix,SNF,1
genome-scale metabolic models,CarveMe,1
graph,GSEA,1
images,Cytoscape,1
interaction networks,String.db,1
metabolic model,"COBRApy, CarveMe, Fluxer",3
metabolic network,COBRApy,1
metabolic networks,CarveMe,1
metrics,Cytoscape,1
network,Cytoscape,1
network and seed,RWR,1
network ranking,MULTIXRANK,1
network result,MULTIXRANK,1
networks,"Fluxer, String.db",2
node lists,RWR,1
normalized enrichment plots,GSEA,1
optimization results,COBRApy,1
orthologous groups,eggNOG-mapper,1
patient clusters,SNF,1
pictures,"Fluxer, GSEA",2
propagation profiles,RWR,1
ranked gene lists,GSEA,1
ranked node lists,"MULTIXRANK, RWR",2
results of simulations,COBRApy,1
scores,MULTIXRANK,1
similarity matrices,SNF,1
subnetwork modules,RWR,1
table containing multiple annotations for each gene or protein,eggNOG-mapper,1
taxonomic assignments,eggNOG-mapper,1
visualizations,Fluxer,1
