annotation,tools,tool_count
adjacency matrix,RWR,1
api queries,String.db,1
biopax,Cytoscape,1
cls,GSEA,1
csv,"Cytoscape, MULTIXRANK, SNF, String.db",4
edge list,RWR,1
fasta,"CarveMe, String.db, eggNOG-mapper",3
gct,GSEA,1
gml,Cytoscape,1
gmt,"GSEA, MULTIXRANK",2
gmx,GSEA,1
graphml,"Cytoscape, RWR",2
gst,GSEA,1
gzip,eggNOG-mapper,1
json,"COBRApy, MULTIXRANK",2
matlab,COBRApy,1
matrices,MOFA2,1
matrix,SNF,1
r vectors,MOFA2,1
sbml,"COBRApy, CarveMe, Cytoscape, Fluxer",4
seed,RWR,1
sif,"Cytoscape, MULTIXRANK",2
tsv,"Cytoscape, MULTIXRANK, SNF",3
txt,"GSEA, MULTIXRANK, String.db",3
xgmml,Cytoscape,1
xls,Cytoscape,1
yaml,"COBRApy, MULTIXRANK",2
