io_type,annotation,tools,tool_count
Input,annotation,CellPose,1
Input,fluorescence in situ hybriditation (fish) microscopy image,Big-FISH,1
Input,list of paired points,EcClem,1
Input,microscopy images 2d,"CellPose, EcClem",2
Input,microscopy images 3d,"CellPose, EcClem, deconvolutionLab2",3
Input,point spread function,deconvolutionLab2,1
Input_format,jpeg,Big-FISH,1
Input_format,jpegs,CellPose,1
Input_format,jpg,Big-FISH,1
Input_format,microscopy image format,"EcClem, deconvolutionLab2",2
Input_format,npy,CellPose,1
Input_format,png,"Big-FISH, CellPose",2
Input_format,tif,Big-FISH,1
Input_format,tiff,"Big-FISH, CellPose",2
Input_format,xml,EcClem,1
Operation,annotation,CellPose,1
Operation,cell segmentation,Big-FISH,1
Operation,cluster detection,Big-FISH,1
Operation,colocalisation,Big-FISH,1
Operation,deconvolution,deconvolutionLab2,1
Operation,error estimation,EcClem,1
Operation,fiducial list based registration,EcClem,1
Operation,model training,CellPose,1
Operation,nucleus segmentation,Big-FISH,1
Operation,point-spread function generation,deconvolutionLab2,1
Operation,preprocessing,"Big-FISH, deconvolutionLab2",2
Operation,segmentation 2d,CellPose,1
Operation,segmentation 3d,CellPose,1
Operation,spot detection,Big-FISH,1
Output,deconvolved image 3d,deconvolutionLab2,1
Output,error map in memory,EcClem,1
Output,label mask as np array,Big-FISH,1
Output,label masks,CellPose,1
Output,list of detection with additional features,Big-FISH,1
Output,model weight,CellPose,1
Output,overlay image,EcClem,1
Output,point spread function,deconvolutionLab2,1
Output,region of interest,CellPose,1
Output,structured dataset,CellPose,1
Output,transformation matrix,EcClem,1
Output,transformed source image,EcClem,1
Output_format,csv,EcClem,1
Output_format,image format,"Big-FISH, EcClem, deconvolutionLab2",3
Output_format,imagej rois,CellPose,1
Output_format,model cellpose,CellPose,1
Output_format,npy,CellPose,1
Output_format,png,CellPose,1
Output_format,txt,Big-FISH,1
Output_format,xml,EcClem,1
Topic,cell segmentation,CellPose,1
Topic,confocal microscopy,deconvolutionLab2,1
Topic,correlative microscopy,EcClem,1
Topic,fluorescence in situ hybriditation microscopy,Big-FISH,1
Topic,image registration,EcClem,1
Topic,image restoration,deconvolutionLab2,1
Topic,optical microscopy,CellPose,1
Topic,spatial transcriptomics,Big-FISH,1
Topic,wide field,deconvolutionLab2,1
