tools	annotation	candidate EDAM term label	Validation expert	hasExactmatch	hasBroader	hasNarrower	EDAM term URI	domain	edam_category
AFNI	anatomical mri	MRI image	Yes	No	Yes	No	http://edamontology.org/data_3442	Neuroimaging	data
AFNI	fmri	MRI image	Yes	No	Yes	No	http://edamontology.org/data_3442	Neuroimaging	data
AFNI	parametric modulation maps	Statistical estimate score	Yes	No	Yes	No	http://edamontology.org/data_0951	Neuroimaging	data
AFNI	nifti	Image format	Yes	No	No	No	http://edamontology.org/format_3549	Neuroimaging	formats
AFNI	group statistical analysis	Statistical calculation	Yes	No	No	No	http://edamontology.org/operation_2238	Neuroimaging	operations
AFNI	subject statistical analysis	Statistical calculation	Yes	No	Yes	No	http://edamontology.org/operation_2238	Neuroimaging	operations
AFNI	visualization	Visualisation	Yes	Yes	No	No	http://edamontology.org/operation_0337	Neuroimaging	operations
AFNI	voxel-wise regression analysis	Regression analysis	Yes	No	Yes	No	http://edamontology.org/operation_3659	Neuroimaging	operations
AFNI	brain imaging	Medical imaging	Yes	No	Yes	No	http://edamontology.org/topic_3384	Neuroimaging	topics
AFNI	functional & anatomical MRI preprocesing	MRI	Yes	No	Yes	No	http://edamontology.org/topic_3444	Neuroimaging	topics
AFNI	neuroimaging	Medical imaging	Yes	No	Yes	No	http://edamontology.org/topic_3384	Neuroimaging	topics
Anvi’o	contigs	Sequence Assembly	Yes	No	Yes	No	http://edamontology.org/data_0925	Metagenomic	data
Anvi’o	functional annotations	Gene functional annotation	Yes	No	No	Yes	http://edamontology.org/operation_3672	Metagenomic	data
Anvi’o	image	Image	Yes	Yes	No	No	http://edamontology.org/data_2968	Metagenomic	data
Anvi’o	metabolic profiles	Mass spectrometry data	Yes	No	Yes	No	http://edamontology.org/data_2536	Metagenomic	data
Anvi’o	phylogenetic tree	Phylogenetic tree	Yes	Yes	No	No	http://edamontology.org/data_0872	Metagenomic	data
Anvi’o	taxonomic profiles	Taxonomic classification	Yes	No	Yes	No	http://edamontology.org/data_1872	Metagenomic	data
Anvi’o	tree	Phylogenetic tree	Yes	No	Yes	No	http://edamontology.org/data_0872	Metagenomic	data
Anvi’o	visualizations	Visualisation	Yes	Yes	No	No	http://edamontology.org/operation_0337	Metagenomic	data
Anvi’o	bam	BAM	Yes	Yes	No	No	http://edamontology.org/format_2572	Metagenomic	formats
Anvi’o	fasta	FASTA	Yes	Yes	No	No	http://edamontology.org/format_1929	Metagenomic	formats
Anvi’o	fastq	FASTQ	Yes	Yes	No	No	http://edamontology.org/format_1930	Metagenomic	formats
Anvi’o	html	HTML	Yes	Yes	No	No	http://edamontology.org/format_2331	Metagenomic	formats
Anvi’o	jpeg	JPEG	Yes	Yes	No	No	http://edamontology.org/format_3579	Metagenomic	formats
Anvi’o	json	JSON	Yes	Yes	No	No	http://edamontology.org/format_3464	Metagenomic	formats
Anvi’o	newick	newick	Yes	Yes	No	No	http://edamontology.org/format_1910	Metagenomic	formats
Anvi’o	png	PNG	Yes	Yes	No	No	http://edamontology.org/format_3603	Metagenomic	formats
Anvi’o	svg	SVG	Yes	Yes	No	No	http://edamontology.org/format_3604	Metagenomic	formats
Anvi’o	tsv	TSV	Yes	Yes	No	No	http://edamontology.org/format_3475	Metagenomic	formats
Anvi’o	annotation edition	Genome annotation	Yes	No	No	Yes	http://edamontology.org/operation_0362	Metagenomic	operations
Anvi’o	assembly	Sequence assembly	Yes	Yes	No	No	http://edamontology.org/operation_0310	Metagenomic	operations
Anvi’o	functional annotation	Gene functional annotation	Yes	No	No	Yes	http://edamontology.org/operation_3672	Metagenomic	operations
Anvi’o	interactive edition	Editing	Yes	No	Yes	No	http://edamontology.org/operation_3096	Metagenomic	operations
Anvi’o	interactive visualization	Visualisation	Yes	No	Yes	No	http://edamontology.org/operation_0337	Metagenomic	operations
Anvi’o	taxonomic profiling	Taxonomic classification	Yes	No	Yes	No	http://edamontology.org/operation_3460	Metagenomic	operations
Anvi’o	workflow	Workflows	Yes	Yes	No	No	http://edamontology.org/topic_0769	Metagenomic	operations
Anvi’o	comparative genomics	Comparative genomics	Yes	Yes	No	No	http://edamontology.org/topic_0797	Metagenomic	topics
Anvi’o	functional genomics	Functional genomics	Yes	Yes	No	No	http://edamontology.org/topic_0085	Metagenomic	topics
Anvi’o	metagenomics	Metagenomics	Yes	Yes	No	No	http://edamontology.org/topic_3174	Metagenomic	topics
Bedtools_annotate	annotated intervals	Annotation track	Yes	No	Yes	No	http://edamontology.org/data_3002	Genetic_variant	data
Bedtools_annotate	annotation tracks	Annotation track	Yes	Yes	No	No	http://edamontology.org/data_3002	Genetic_variant	data
Bedtools_annotate	coverage statistics	Sequence assembly report	Yes	No	Yes	No	http://edamontology.org/data_3181	Genetic_variant	data
Bedtools_annotate	genomic features	Nucleic acid features	Yes	No	Yes	No	http://edamontology.org/data_1276	Genetic_variant	data
Bedtools_annotate	sequence variants	Sequence variations	Yes	No	Yes	No	http://edamontology.org/data_3498	Genetic_variant	data
Bedtools_annotate	bed	BED	Yes	No	No	No	http://edamontology.org/format_3003	Genetic_variant	formats
Bedtools_annotate	gff	GFF	Yes	Yes	No	No	http://edamontology.org/format_2305	Genetic_variant	formats
Bedtools_annotate	vcf	VCF	Yes	Yes	No	No	http://edamontology.org/format_3016	Genetic_variant	formats
Bedtools_annotate	genomic interval annotation	Genome annotation	Yes	No	Yes	No	http://edamontology.org/operation_0362	Genetic_variant	operations
Bedtools_annotate	genomic comparaison	Genome comparison	Yes	No	Yes	No	http://edamontology.org/operation_3209	Genetic_variant	topics
Big-FISH	fluorescence in situ hybriditation (fish) microscopy image	Image	Yes	No	Yes	No	http://edamontology.org/data_2968	Microscopy	data
Big-FISH	list of detection with additional features	Matrix	Yes	No	Yes	No	http://edamontology.org/data_2082	Microscopy	data
Big-FISH	image format	Image format	Yes	Yes	No	No	http://edamontology.org/format_3547	Microscopy	formats
Big-FISH	jpeg	JPEG	Yes	Yes	No	No	http://edamontology.org/format_3579	Microscopy	formats
Big-FISH	jpg	JPG	Yes	Yes	No	No	http://edamontology.org/format_3579	Microscopy	formats
Big-FISH	png	PNG	Yes	Yes	No	No	http://edamontology.org/format_3603	Microscopy	formats
Big-FISH	tif	TIFF	Yes	No	Yes	No	http://edamontology.org/format_3591	Microscopy	formats
Big-FISH	tiff	TIFF	Yes	Yes	No	No	http://edamontology.org/format_3591	Microscopy	formats
Big-FISH	txt	Plain text format	Yes	Yes	No	No	http://edamontology.org/format_2330	Microscopy	formats
Big-FISH	cell segmentation	Image analysis	Yes	No	Yes	No	http://edamontology.org/operation_3443	Microscopy	operations
Big-FISH	colocalisation	Image analysis	Yes	No	Yes	No	http://edamontology.org/operation_3432	Microscopy	operations
Big-FISH	nucleus segmentation	Image analysis	Yes	No	Yes	No	http://edamontology.org/operation_3443	Microscopy	operations
Big-FISH	preprocessing	Image analysis	Yes	No	Yes	No	http://edamontology.org/operation_3443	Microscopy	operations
Big-FISH	spot detection	Image analysis	Yes	No	Yes	No	http://edamontology.org/operation_3443	Microscopy	operations
Big-FISH	fluorescence in situ hybriditation microscopy	Imaging	Yes	No	Yes	No	http://edamontology.org/topic_3382	Microscopy	topics
Big-FISH	spatial transcriptomics	Transcriptomics	Yes	No	Yes	No	http://edamontology.org/topic_3308	Microscopy	topics
COBRApy	metabolic model	Mathematical model	Yes	No	Yes	No	http://edamontology.org/data_0950	Systems_biology	data
COBRApy	metabolic network	Pathway or network	Yes	No	Yes	No	http://edamontology.org/data_2600	Systems_biology	data
COBRApy	metabolic network/model or nothing if created from scratch	Pathway or network	Yes	No	Yes	No	http://edamontology.org/data_2600	Systems_biology	data
COBRApy	metabolites	Reaction data	Yes	No	Yes	No	http://edamontology.org/data_2978	Systems_biology	data
COBRApy	optimization results	Optimisation and refinement	Yes	No	Yes	No	http://edamontology.org/operation_2425	Systems_biology	data
COBRApy	results of simulations	Simulation	Yes	No	Yes	No	http://edamontology.org/data_3869	Systems_biology	data
COBRApy	metabolic model	Mathematical model	Yes	No	Yes	No	http://edamontology.org/data_0950	Systems_biology	formats
COBRApy	metabolic network	Pathway or network	Yes	No	Yes	No	http://edamontology.org/data_2600	Systems_biology	formats
COBRApy	metabolic network/model or nothing if created from scratch	Pathway or network	Yes	No	Yes	No	http://edamontology.org/data_2600	Systems_biology	formats
COBRApy	metabolites	Reaction data	Yes	No	Yes	No	http://edamontology.org/data_2978	Systems_biology	formats
COBRApy	optimization results	Optimisation and refinement	Yes	No	Yes	No	http://edamontology.org/operation_2425	Systems_biology	formats
COBRApy	results of simulations	Simulation	Yes	No	Yes	No	http://edamontology.org/data_3869	Systems_biology	formats
COBRApy	constraint-based simulations such as fba	Modelling and simulation	Yes	No	Yes	No	http://edamontology.org/operation_2426	Systems_biology	operations
COBRApy	construction or modification of metabolic models	Metabolic network modelling	Yes	No	Yes	No	http://edamontology.org/operation_3660	Systems_biology	operations
COBRApy	metabolic network simulation	Metabolic network simulation	Yes	Yes	No	No	http://edamontology.org/operation_3660	Systems_biology	operations
COBRApy	optimization	Optimisation and refinement	Yes	Yes	No	No	http://edamontology.org/operation_2425	Systems_biology	operations
COBRApy	constraint-based modeling	Modelling and simulation	Yes	No	Yes	No	http://edamontology.org/operation_2426	Systems_biology	topics
COBRApy	metabolic modelling	Metabolic network modelling	Yes	Yes	No	No	http://edamontology.org/operation_3660	Systems_biology	topics
COBRApy	metabolic networks	Biological networks	Yes	No	Yes	No	http://edamontology.org/topic_0602	Systems_biology	topics
COBRApy	metabolic reconstruction	Metabolic network reconstruction	Yes	Yes	No	No	http://edamontology.org/operation_3660	Systems_biology	topics
COBRApy	systems biology	Systems biology	Yes	Yes	No	No	http://edamontology.org/topic_2259	Systems_biology	topics
CONCOCT	contigs	Sequence Assembly	Yes	No	Yes	No	http://edamontology.org/data_0925	Metagenomic	data
CONCOCT	fasta	FASTA	Yes	Yes	No	No	http://edamontology.org/format_1929	Metagenomic	formats
CONCOCT	tsv	TSV	Yes	Yes	No	No	http://edamontology.org/format_3475	Metagenomic	formats
CONCOCT	metagenomics	Metagenomics	Yes	Yes	No	No	http://edamontology.org/topic_3174	Metagenomic	topics
Canu	assembled contigs	Sequence assembly	Yes	No	Yes	No	http://edamontology.org/data_0925	Genetic_variant	data
Canu	assembled scaffolds	Sequence assembly	Yes	No	Yes	No	http://edamontology.org/data_0925	Genetic_variant	data
Canu	raw long sequencing reads	Sequence trace	Yes	No	Yes	No	http://edamontology.org/data_0924	Genetic_variant	data
Canu	unassembled corrected reads	Sequence set (nucleic acid)	Yes	No	Yes	No	http://edamontology.org/data_1234	Genetic_variant	data
Canu	fasta	FASTA	Yes	Yes	No	No	http://edamontology.org/format_1929	Genetic_variant	formats
Canu	fastq	FASTQ	Yes	Yes	No	No	http://edamontology.org/format_1930	Genetic_variant	formats
Canu	gfa	GFA 2	Yes	No	No	Yes	http://edamontology.org/format_3976	Genetic_variant	formats
