,0
0,abundance and composition integration
1,abundance profiling
2,activity profiling
3,annotation edition
4,assembly
5,binning
6,binning refinement
7,bruijn graph
8,functional annotation
9,genome annotation
10,genome assemby
11,genome completness
12,genome contamination
13,genome quality
14,genomic refining
15,interactive edition
16,interactive visualization
17,metagenomic assembly
18,phylogenetic inference
19,sequence classification
20,taxonomic annotation
21,taxonomic classification
22,taxonomic profiling
23,visualization
24,workflow
