tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	TP_annotations	FP_annotations	FN_annotations
FMRIprep	topic	1	4	3	0	0.2	0.25	0.22	['bids apps']	['bids applications', 'data standardization', 'functional mri preprocessing', 'reproducible analysis']	['brain imaging', 'fmri preprocessing', 'neuroimaging']
FMRIprep	operation	0	5	2	0	0.0	0.0	0.0	[]	['anatomical data preprocessing', 'brain extraction', 'confound estimation', 'functional data preprocessing', 'spatial normalization']	['preprocessing', 'visualization']
FMRIprep	input data	0	2	1	0	0.0	0.0	0.0	[]	['raw anatomical mri', 'raw functional mri timeseries']	['fmri']
FMRIprep	output data	1	3	1	0	0.25	0.5	0.33	['reports']	['normalized anatomical data', 'preprocessed functional data', 'quality control reports']	['preprocessed fmri']
FMRIprep	input format	0	1	2	0	0.0	0.0	0.0	[]	['bids-structured datasets']	['bids', 'nifti']
FMRIprep	output format	3	0	0	0	1.0	1.0	1.0	['html', 'nifti', 'tsv']	[]	[]
AFNI	topic	0	4	4	0	0.0	0.0	0.0	[]	['brain mapping', 'fmri data analysis', 'functional neuroimaging', 'neuroimaging visualization.']	['anatomical mri processing', 'brain imaging', 'fmri analysis', 'neuroimaging']
AFNI	operation	1	5	4	0	0.17	0.2	0.18	['voxel-wise regression analysis']	['3d visualization', 'group-level analysis', 'image preprocessing', 'statistical thresholding', 'surface-based analysis']	['group statistical analysis', 'preprocessing', 'subject statistical analysis', 'visualization']
AFNI	input data	0	2	2	0	0.0	0.0	0.0	[]	['anatomical references.', 'functional mri timeseries']	['anatomical mri', 'fmri']
AFNI	output data	0	2	1	0	0.0	0.0	0.0	[]	['region of interest masks', 'statistical result volumes']	['parametric modulation maps']
AFNI	input format	2	0	0	0	1.0	1.0	1.0	['brik/head', 'nifti']	[]	[]
AFNI	output format	2	0	0	0	1.0	1.0	1.0	['brik/head', 'nifti']	[]	[]
SPM	topic	3	4	3	0	0.43	0.5	0.46	['eeg analysis', 'fmri analysis', 'meg analysis']	['functional neuroimaging', 'pet analysis', 'structural neuroimaging', 'voxel-based morphometry']	['anatomical mri processing', 'brain imaging', 'neuroimaging']
SPM	operation	0	8	4	0	0.0	0.0	0.0	[]	['data smoothing', 'general linear model application', 'hypothesis testing', 'image segmentation', 'motion correction', 'multiple comparisons correction', 'spatial normalization', 'statistical parametric mapping']	['group statistical analysis', 'preprocessing', 'subject statistical analysis', 'visualization']
SPM	input data	0	3	6	0	0.0	0.0	0.0	[]	['brain imaging sequences', 'multi-subject cohort', 'time-series data']	['anatomical mri', 'eeg', 'fmri', 'meg', 'pet', 'spect']
SPM	output data	1	2	2	0	0.33	0.33	0.33	['statistical parametric maps']	['contrast maps', 'segmented tissue maps']	['preprocessed data', 'results reports']
SPM	input format	2	0	0	0	1.0	1.0	1.0	['dicom', 'nifti']	[]	[]
SPM	output format	1	0	4	0	1.0	0.2	0.33	['nifti']	[]	['jpeg', 'mat', 'pdf', 'ps']
Freesurfer	topic	0	5	4	0	0.0	0.0	0.0	[]	['brain segmentation', 'cortical reconstruction', 'morphometry.', 'neuroanatomy', 'surface-based analysis']	['brain imaging', 'diffusion mri tractography', 'fmri surface analysis', 'neuroimaging']
Freesurfer	operation	0	5	4	0	0.0	0.0	0.0	[]	['automated cortical surface reconstruction', 'cortical thickness measurement', 'spherical registration', 'subcortical segmentation', 'surface inflation']	['morphometry analysis', 'surface modelling', 'tractography', 'whole-brain analysis']
Freesurfer	input data	0	1	4	0	0.0	0.0	0.0	[]	['high-resolution structural mri']	['anatomical mri', 'diffusion mri', 'fmri', 'pet']
Freesurfer	output data	1	3	2	0	0.25	0.33	0.28	['volumetric segmentation']	['anatomical labels', 'surface meshes', 'thickness maps']	['cortical parcellations', 'surface maps']
Freesurfer	input format	1	1	1	0	0.5	0.5	0.5	['nifti']	['mgz']	['dicom']
Freesurfer	output format	1	2	14	0	0.33	0.07	0.12	['mgz']	['annotation files', 'gifti']	['annot', 'bfloat', 'bshort', 'cor', 'curv', 'dat', 'gca', 'gcs', 'm3d', 'mgh', 'patch', 'surface', 'w', 'xfm']
FSL	topic	0	5	5	0	0.0	0.0	0.0	[]	['brain image analysis.', 'diffusion mri', 'functional mri', 'magnetic resonance imaging', 'structural mri']	['anatomical mri processing', 'brain imaging', 'diffusion mri tractography', 'fmri analysis', 'neuroimaging']
FSL	operation	2	5	4	0	0.29	0.33	0.31	['functional connectivity analysis', 'tractography']	['brain extraction', 'functional connectivity analysis.', 'image registration', 'statistical analysis', 'tissue segmentation']	['group statistical analysis', 'preprocessing', 'subject statistical analysis', 'visualization']
FSL	input data	0	3	3	0	0.0	0.0	0.0	[]	['diffusion-weighted images', 'functional timeseries', 'structural volumes']	['anatomical mri', 'diffusion mri', 'fmri']
FSL	output data	1	3	2	0	0.25	0.33	0.28	['statistical maps']	['fiber tracts.', 'registered images', 'segmentation maps']	['preprocessed data', 'reports']
FSL	input format	1	0	1	0	1.0	0.5	0.67	['nifti']	[]	['nifti.gz']
FSL	output format	1	0	2	0	1.0	0.33	0.5	['nifti']	[]	['html', 'nifti.gz']
