tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	TP_annotations	FP_annotations	FN_annotations
FMRIprep	topic	3	0	1	0	1.0	0.75	0.86	['brain imaging', 'fmri preprocessing', 'neuroimaging']	[]	['bids apps']
FMRIprep	operation	2	0	0	0	1.0	1.0	1.0	['preprocessing', 'visualization']	[]	[]
FMRIprep	input data	1	0	0	0	1.0	1.0	1.0	['fmri']	[]	[]
FMRIprep	output data	1	0	1	0	1.0	0.5	0.67	['preprocessed fmri']	[]	['reports']
FMRIprep	input format	2	0	0	0	1.0	1.0	1.0	['bids', 'nifti']	[]	[]
FMRIprep	output format	3	0	0	0	1.0	1.0	1.0	['html', 'nifti', 'tsv']	[]	[]
AFNI	topic	4	0	0	0	1.0	1.0	1.0	['anatomical mri processing', 'brain imaging', 'fmri analysis', 'neuroimaging']	[]	[]
AFNI	operation	5	0	0	0	1.0	1.0	1.0	['group statistical analysis', 'preprocessing', 'subject statistical analysis', 'visualization', 'voxel-wise regression analysis']	[]	[]
AFNI	input data	2	0	0	0	1.0	1.0	1.0	['anatomical mri', 'fmri']	[]	[]
AFNI	output data	1	0	0	0	1.0	1.0	1.0	['parametric modulation maps']	[]	[]
AFNI	input format	2	0	0	0	1.0	1.0	1.0	['brik/head', 'nifti']	[]	[]
AFNI	output format	2	0	0	0	1.0	1.0	1.0	['brik/head', 'nifti']	[]	[]
SPM	topic	6	0	0	0	1.0	1.0	1.0	['anatomical mri processing', 'brain imaging', 'eeg analysis', 'fmri analysis', 'meg analysis', 'neuroimaging']	[]	[]
SPM	operation	4	0	0	0	1.0	1.0	1.0	['group statistical analysis', 'preprocessing', 'subject statistical analysis', 'visualization']	[]	[]
SPM	input data	6	0	0	0	1.0	1.0	1.0	['anatomical mri', 'eeg', 'fmri', 'meg', 'pet', 'spect']	[]	[]
SPM	output data	3	0	0	0	1.0	1.0	1.0	['preprocessed data', 'results reports', 'statistical parametric maps']	[]	[]
SPM	input format	2	0	0	0	1.0	1.0	1.0	['dicom', 'nifti']	[]	[]
SPM	output format	5	0	0	0	1.0	1.0	1.0	['jpeg', 'mat', 'nifti', 'pdf', 'ps']	[]	[]
Freesurfer	topic	4	0	0	0	1.0	1.0	1.0	['brain imaging', 'diffusion mri tractography', 'fmri surface analysis', 'neuroimaging']	[]	[]
Freesurfer	operation	4	0	0	0	1.0	1.0	1.0	['morphometry analysis', 'surface modelling', 'tractography', 'whole-brain analysis']	[]	[]
Freesurfer	input data	4	0	0	0	1.0	1.0	1.0	['anatomical mri', 'diffusion mri', 'fmri', 'pet']	[]	[]
Freesurfer	output data	3	0	0	0	1.0	1.0	1.0	['cortical parcellations', 'surface maps', 'volumetric segmentation']	[]	[]
Freesurfer	input format	2	0	0	0	1.0	1.0	1.0	['dicom', 'nifti']	[]	[]
Freesurfer	output format	15	0	0	0	1.0	1.0	1.0	['annot', 'bfloat', 'bshort', 'cor', 'curv', 'dat', 'gca', 'gcs', 'm3d', 'mgh', 'mgz', 'patch', 'surface', 'w', 'xfm']	[]	[]
FSL	topic	5	0	0	0	1.0	1.0	1.0	['anatomical mri processing', 'brain imaging', 'diffusion mri tractography', 'fmri analysis', 'neuroimaging']	[]	[]
FSL	operation	5	0	1	0	1.0	0.83	0.91	['group statistical analysis', 'preprocessing', 'subject statistical analysis', 'tractography', 'visualization']	[]	['functional connectivity analysis']
FSL	input data	3	0	0	0	1.0	1.0	1.0	['anatomical mri', 'diffusion mri', 'fmri']	[]	[]
FSL	output data	3	0	0	0	1.0	1.0	1.0	['preprocessed data', 'reports', 'statistical maps']	[]	[]
FSL	input format	2	0	0	0	1.0	1.0	1.0	['nifti', 'nifti.gz']	[]	[]
FSL	output format	3	0	0	0	1.0	1.0	1.0	['html', 'nifti', 'nifti.gz']	[]	[]
