tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	TP_annotations	FP_annotations	FN_annotations
Monocle3	topic	2	0	0	0	1.0	1.0	1.0	['cell trajectories inference', 'single-cell genomic']	[]	[]
Monocle3	operation	7	0	0	0	1.0	1.0	1.0	['cell trajectories inference', 'clustering', 'differential expression over cell trajectory', 'normalization', 'quality control', 'reduction dimensions', 'visualisations']	[]	[]
Monocle3	input data	2	3	0	0	0.4	1.0	0.57	['cell metadata', 'expression matrices']	['seurat object', 'single cell experiment', 'tables']	[]
Monocle3	output data	6	1	0	0	0.86	1.0	0.92	['branch labels', 'differential expression results', 'plots', 'pseudotime values', 'trajectory graph', 'trajectory tree']	['pseudotime values for the cells']	[]
Monocle3	input format	3	0	0	0	1.0	1.0	1.0	['bundle format (mtx)', 'csv', 'tsv']	[]	[]
Monocle3	output format	7	0	0	0	1.0	1.0	1.0	['csv', 'jpeg', 'pdf', 'png', 'rds', 'svg', 'tsv']	[]	[]
Seurat	topic	2	0	0	0	1.0	1.0	1.0	['single-cell genomic', 'spatial transcriptomics']	[]	[]
Seurat	operation	7	1	0	0	0.88	1.0	0.94	['clustering', 'data integration', 'differential expression testing', 'dimensionality reduction', 'normalization', 'quality controls', 'visualization']	['deg (differential expression gene)']	[]
Seurat	input data	8	1	0	0	0.89	1.0	0.94	['atacseq data', 'cell metadata', 'cite-seq', 'feature metadata', 'images', 'raw count matrix', 'scrna-seq data', 'spatial transcriptomic']	['metadata tables']	[]
Seurat	output data	4	1	1	0	0.8	0.8	0.8	['cluster labels', 'expression matrix', 'plots', 'table results']	['seurat object']	['cell embeddings']
Seurat	input format	5	0	0	0	1.0	1.0	1.0	['bundle format (mtx)', 'csv', 'hdf5', 'tiff', 'tsv']	[]	[]
Seurat	output format	6	0	1	0	1.0	0.86	0.92	['csv', 'jpeg', 'png', 'rds', 'svg', 'tsv']	[]	['pdf']
Scanpy	topic	2	0	0	0	1.0	1.0	1.0	['single-cell genomic', 'trajectory inference']	[]	[]
Scanpy	operation	9	1	0	0	0.9	1.0	0.95	['cell trajectory inference', 'clustering', 'data integration', 'differential expression testing', 'dimensionality reduction', 'normalization', 'pseudotime analysis', 'quality controls', 'visualization']	['deg (differential expression gene)']	[]
Scanpy	input data	6	1	2	0	0.86	0.75	0.8	['atacseq data', 'cite-seq', 'images', 'raw count matrix', 'scrna-seq data', 'spatial transcriptomic']	['metadata tables']	['cell metadata', 'feature metadata']
Scanpy	output data	5	2	3	0	0.71	0.62	0.66	['cluster labels', 'differential expression results', 'plots', 'processed expression matrix', 'table results']	['anndata object', 'expression matrix']	['pseudotime values', 'trajectory graph', 'trajectory tree']
Scanpy	input format	5	0	1	0	1.0	0.83	0.91	['bundle format (mtx)', 'csv', 'hdf5', 'tiff', 'tsv']	[]	['h5ad']
Scanpy	output format	6	0	2	0	1.0	0.75	0.86	['csv', 'hdf5', 'jpeg', 'png', 'svg', 'tsv']	[]	['h5ad', 'pdf']
