,0
0,biochemistry education
1,clustering
2,co-occurrence networks
3,community modeling
4,constraint-based modeling
5,data integration
6,dimensionality reduction
7,disease gene prediction
8,disease subtyping
9,enrichment analysis
10,factor analysis
11,flux balance analysis
12,functional annotation
13,functional annotation of proteins
14,functional enrichment
15,functional genomics
16,functional module detection
17,genome-scale metabolic modeling
18,graph theory
19,joint dimension reduction
20,metabolic flux analysis
21,metabolic modeling
22,metabolic modelling
23,metabolic networks
24,metabolic pathways
25,metabolic reconstruction
26,metagenomic annotation
27,microbiology
28,molecular interaction networks
29,molecular signatures
30,multi-layer networks
31,multi-omics data integration
32,multiomics data integration
33,network analysis
34,network biology
35,network exploration
36,network handling
37,network integration
38,network propagation
39,network visualisation
40,node prioritization
41,orthology assignment
42,pathway analysis
43,pathway visualization
44,patient stratification
45,prioritization analysis
46,protein function prediction
47,protein-protein interaction networks
48,protein-protein interactions
49,systems biology
50,visualization
